,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
1,I Ain't Worried,OneRepublic,piano rock,2022,2022‑12‑01,140,80,70,-6,5,83,148,8,5,92
2,Heat Waves,Glass Animals,gauze pop,2020,2022‑12‑01,81,53,76,-7,9,53,239,44,9,91
3,As It Was,Harry Styles,pop,2022,2022‑12‑01,174,73,52,-5,31,66,167,34,6,91
4,Me Porto Bonito,Bad Bunny,reggaeton,2022,2022‑12‑01,92,71,91,-5,9,43,179,9,8,90
5,Something in the Orange,Zach Bryan,classic oklahoma country,2022,2022‑12‑01,175,19,37,-12,10,15,228,56,4,90
6,Jimmy Cooks (feat. 21 Savage),Drake,canadian hip hop,2022,2022‑12‑01,166,67,53,-5,9,37,218,0,18,89
7,Ojitos Lindos,Bad Bunny,reggaeton,2022,2022‑12‑01,80,69,65,-6,53,27,258,8,4,89
8,Tití Me Preguntó,Bad Bunny,reggaeton,2022,2022‑12‑01,107,72,65,-5,13,19,244,10,25,88
9,Efecto,Bad Bunny,reggaeton,2022,2022‑12‑01,98,48,80,-9,6,23,213,14,5,88
10,Shivers,Ed Sheeran,pop,2021,2022‑12‑01,141,86,79,-3,4,82,208,28,9,87
11,Ghost,Justin Bieber,canadian pop,2021,2022‑12‑01,154,74,60,-6,42,44,153,19,5,87
12,Wasted On You,Morgan Wallen,contemporary country,2021,2022‑12‑01,196,66,51,-5,13,25,179,37,3,87
13,Woman,Doja Cat,dance pop,2021,2022‑12‑01,108,76,82,-4,12,88,173,9,9,87
14,Late Night Talking,Harry Styles,pop,2022,2022‑12‑01,115,73,71,-5,11,90,178,30,5,87
15,I Like You (A Happier Song) (with Doja Cat),Post Malone,dfw rap,2022,2022‑12‑01,101,67,73,-6,12,47,193,12,8,87
16,good 4 u,Olivia Rodrigo,pop,2021,2022‑12‑01,167,66,56,-5,8,69,178,34,15,87
17,Unholy (feat. Kim Petras),Sam Smith,pop,2022,2022‑12‑01,131,47,71,-7,27,24,157,1,9,87
18,STAY (with Justin Bieber),The Kid LAROI,australian hip hop,2021,2022‑12‑01,170,76,59,-5,10,48,142,4,5,86
19,Cold Heart - PNAU Remix,Elton John,glam rock,2021,2022‑12‑01,116,80,80,-6,10,94,203,3,3,86
20,WAIT FOR U (feat. Drake & Tems),Future,atl hip hop,2022,2022‑12‑01,83,64,46,-4,7,34,190,31,34,86
21,Bad Habits,Ed Sheeran,pop,2021,2022‑12‑01,126,89,81,-4,37,54,231,5,3,86
22,Sunroof,Nicky Youre,singer-songwriter pop,2021,2022‑12‑01,131,71,77,-5,15,84,163,35,4,86
23,Moscow Mule,Bad Bunny,reggaeton,2022,2022‑12‑01,100,67,80,-5,12,29,246,29,3,86
24,Running Up That Hill (A Deal With God),Kate Bush,art pop,1985,2022‑12‑01,108,55,63,-13,6,19,299,72,5,85
25,Glimpse of Us,Joji,viral pop,2022,2022‑12‑01,170,32,44,-9,14,27,233,89,5,85
26,Easy On Me,Adele,british soul,2021,2022‑12‑01,142,37,60,-8,13,13,225,58,3,84
27,abcdefu,GAYLE,modern alternative pop,2021,2022‑12‑01,122,54,70,-6,37,42,169,30,5,83
28,Save Your Tears (with Ariana Grande) (Remix),The Weeknd,canadian contemporary r&b,2021,2022‑12‑01,118,83,65,-5,9,59,191,2,3,83
29,Levitating,Dua Lipa,dance pop,2020,2022‑12‑01,103,88,70,-2,21,91,204,6,8,83
30,You Right,Doja Cat,dance pop,2021,2022‑12‑01,129,62,83,-6,8,44,186,2,6,83
31,Buy Dirt,Jordan Davis,contemporary country,2021,2022‑12‑01,178,56,59,-7,9,44,167,64,5,83
32,Knife Talk (with 21 Savage ft. Project Pat),Drake,canadian hip hop,2021,2022‑12‑01,146,42,85,-10,8,15,243,6,32,83
33,Rock and A Hard Place,Bailey Zimmerman,contemporary country,2022,2022‑12‑01,122,57,58,-7,11,39,208,58,3,83
34,You Should Probably Leave,Chris Stapleton,contemporary country,2020,2022‑12‑01,184,48,60,-8,17,55,213,27,3,83
35,First Class,Jack Harlow,deep underground hip hop,2022,2022‑12‑01,107,58,90,-6,11,33,174,11,11,82
36,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,lgbtq+ hip hop,2021,2022‑12‑01,150,70,74,-7,5,89,212,2,6,82
37,Need to Know,Doja Cat,dance pop,2021,2022‑12‑01,130,61,66,-7,9,19,211,30,7,82
38,Bad Habit,Steve Lacy,afrofuturism,2022,2022‑12‑01,169,51,69,-7,38,69,232,63,4,82
39,Boyfriend,Dove Cameron,pop,2022,2022‑12‑01,180,61,35,-7,19,23,153,23,6,82
40,love nwantiti (ah ah ah),CKay,afro r&b,2019,2022‑12‑01,93,74,73,-4,16,53,146,37,4,82
41,Party,Bad Bunny,reggaeton,2022,2022‑12‑01,97,80,83,-5,24,47,228,2,9,82
42,PUFFIN ON ZOOTIEZ,Future,atl hip hop,2022,2022‑12‑01,125,66,88,-6,13,28,173,6,31,82
43,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,modern rock,2021,2022‑12‑01,77,78,73,-4,43,56,173,24,27,81
44,Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,dance pop,2022,2022‑12‑01,160,60,80,-8,14,74,183,8,26,81
45,Fall In Love,Bailey Zimmerman,contemporary country,2022,2022‑12‑01,136,64,52,-6,22,40,232,45,3,81
46,PROVENZA,KAROL G,reggaeton,2022,2022‑12‑01,111,52,87,-8,11,53,210,66,5,81
47,About Damn Time,Lizzo,escape room,2022,2022‑12‑01,109,74,84,-6,34,72,192,10,7,80
48,Bam Bam (feat. Ed Sheeran),Camila Cabello,dance pop,2022,2022‑12‑01,95,70,76,-6,33,96,206,18,4,80
49,Oh My God,Adele,british soul,2021,2022‑12‑01,88,73,53,-4,3,55,225,9,5,80
50,Después de la Playa,Bad Bunny,reggaeton,2022,2022‑12‑01,78,90,56,-3,18,61,230,36,31,80
51,Sand In My Boots,Morgan Wallen,contemporary country,2021,2022‑12‑01,70,54,40,-7,11,41,202,59,3,79
52,Get Into It (Yuh),Doja Cat,dance pop,2021,2022‑12‑01,92,66,91,-6,9,79,138,32,16,79
53,Kiss Me More (feat. SZA),Doja Cat,dance pop,2021,2022‑12‑01,111,70,76,-4,12,74,209,24,3,79
54,You Proof,Morgan Wallen,contemporary country,2022,2022‑12‑01,120,85,73,-5,61,64,157,25,3,78
55,The Kind of Love We Make,Luke Combs,contemporary country,2022,2022‑12‑01,102,75,61,-4,9,46,224,2,3,78
56,Super Freaky Girl,Nicki Minaj,hip pop,2022,2022‑12‑01,133,89,95,-3,31,91,171,6,24,78
57,MAMIII,Becky G,latin pop,2022,2022‑12‑01,94,70,84,-4,14,90,226,9,8,78
58,Better Days (NEIKED x Mae Muller x Polo G),NEIKED,scandipop,2021,2022‑12‑01,110,67,72,-5,9,70,161,0,3,78
59,Meet Me At Our Spot,THE ANXIETY,modern alternative pop,2020,2022‑12‑01,95,47,77,-8,9,40,163,2,3,78
60,All Too Well (Taylor's Version),Taylor Swift,pop,2021,2022‑12‑01,186,53,44,-8,23,13,329,2,3,78
61,We Don't Talk About Bruno,Carolina Gaitán - La Gaita,movie tunes,2021,2022‑12‑01,206,45,58,-9,11,83,216,36,8,77
62,One Right Now (with The Weeknd),Post Malone,dfw rap,2021,2022‑12‑01,97,78,69,-5,8,69,194,4,5,77
63,pushin P (feat. Young Thug),Gunna,atl hip hop,2022,2022‑12‑01,78,42,77,-5,13,49,136,1,19,77
64,Fancy Like,Walker Hayes,contemporary country,2022,2022‑12‑01,80,77,65,-6,32,86,162,11,6,76
65,Numb Little Bug,Em Beihold,alt z,2022,2022‑12‑01,85,53,74,-7,25,64,169,33,8,75
66,Surface Pressure,Jessica Darrow,movie tunes,2021,2022‑12‑01,180,58,65,-8,4,37,202,2,31,75
67,Hrs & Hrs,Muni Long,indie r&b,2022,2022‑12‑01,137,55,52,-5,11,63,204,58,21,75
68,Super Gremlin,Kodak Black,florida drill,2021,2022‑12‑01,73,41,83,-7,36,11,201,0,14,74
69,Sweetest Pie,Megan Thee Stallion,houston rap,2022,2022‑12‑01,124,63,81,-7,10,68,201,17,22,74
70,Big Energy,Latto,trap queen,2021,2022‑12‑01,106,81,94,-4,35,81,173,5,11,73
