,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
1,Peggy's Cove,Sarah Watson,,2023,2023‑09‑05,104,9,42,-27,9,20,135,99,3,66
2,Lisser,Miran,,2023,2023‑09‑05,95,6,33,-28,8,31,125,98,4,66
3,Morning Dance,Amine Ayad,,2022,2023‑09‑05,66,6,40,-23,11,14,115,98,4,64
4,White Garden,Amine Ayad,,2022,2023‑09‑05,165,7,33,-25,13,36,127,99,5,61
5,Echoes,Crimson Memoirs,,2023,2023‑09‑05,164,7,34,-25,12,22,120,99,5,61
6,Ottilia,Yana Couto,,2022,2023‑09‑05,127,10,47,-17,12,20,150,99,4,61
7,Aufgang der Sonne,Ploxxio,background piano,2022,2023‑09‑05,129,4,37,-29,10,23,173,98,4,61
8,Hour of Rest,William Cas,background piano,2021,2023‑09‑05,143,1,31,-28,11,11,113,97,4,61
9,Starry Sky,April Baxter,background piano,2022,2023‑09‑05,108,3,56,-25,9,10,140,99,4,59
10,"Waltz No. 1, Collapse",Hikaru Shirosu,anime score,2022,2023‑09‑05,156,2,51,-27,12,19,156,99,4,57
11,Mystique,Cassandra Nestico,background piano,2022,2023‑09‑05,166,5,42,-28,11,14,150,98,4,56
12,Without You,April Baxter,background piano,2023,2023‑09‑05,93,3,35,-31,11,24,157,99,4,56
13,Lost Frequencies,Cecile Roy,background piano,2023,2023‑09‑05,175,5,25,-33,7,26,140,99,4,55
14,Peace Frame,Mauvais Roger,background piano,2022,2023‑09‑05,121,10,32,-27,8,25,179,100,4,55
15,Feeling for the next,Noemi Lucas,,2023,2023‑09‑05,178,3,30,-27,14,23,125,99,4,54
16,I Still Miss You,Boil The Ocean,chill beats,2023,2023‑09‑05,142,4,32,-29,10,13,126,99,3,54
17,Utsjoki,Vegard,background music,2023,2023‑09‑05,107,6,36,-30,9,38,144,99,4,54
18,Fleurs de cerisier,Chloé Czans,background piano,2022,2023‑09‑05,89,5,42,-27,11,9,160,99,3,54
19,Homestead,Chris Donner,background piano,2022,2023‑09‑05,128,9,31,-30,11,36,162,98,4,54
20,Arcticgrey,The Masked Pianoman,,2021,2023‑09‑05,75,0,41,-34,10,27,122,99,5,54
21,Sunlight,Sanna Aalto,background piano,2023,2023‑09‑05,101,10,40,-24,11,41,125,100,3,53
22,Verse and stanza,Aimon Cour,background piano,2023,2023‑09‑05,96,3,42,-25,11,11,120,100,4,52
23,Ingénue,Nino Carl,,2023,2023‑09‑05,87,3,44,-27,10,16,148,100,4,52
24,Sailing Away,Anthony Jacobus,neo-classical,2023,2023‑09‑05,87,2,38,-23,13,33,144,99,4,52
25,Traumtänzer,Lisa Kriegler,,2023,2023‑09‑05,83,2,37,-22,10,27,122,99,4,51
26,Oaks Bluffs,Elinaura,,2022,2023‑09‑05,175,11,37,-21,9,44,117,99,4,51
