,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
1,Cruel Summer,Taylor Swift,pop,2019,2023‑08‑29,170,70,55,-6,11,56,178,12,16,100
2,Dance The Night - From Barbie The Album,Dua Lipa,dance pop,2023,2023‑08‑29,110,85,67,-5,33,78,177,2,5,97
3,Flowers,Miley Cyrus,pop,2023,2023‑08‑29,118,68,71,-4,3,65,200,6,7,95
4,I'm Good (Blue),David Guetta,big room,2022,2023‑08‑29,128,97,56,-4,37,30,175,0,3,93
5,I Ain't Worried,OneRepublic,piano rock,2022,2023‑08‑29,140,80,70,-6,5,83,148,8,5,92
6,Calm Down (with Selena Gomez),Rema,afrobeats,2022,2023‑08‑29,107,81,80,-5,11,80,239,38,4,92
7,Until I Found You (with Em Beihold) - Em Beihold Version,Stephen Sanchez,gen z singer-songwriter,2022,2023‑08‑29,101,55,55,-5,20,34,176,78,3,91
8,Heat Waves,Glass Animals,gauze pop,2020,2023‑08‑29,81,53,76,-7,9,53,239,44,9,91
9,As It Was,Harry Styles,pop,2022,2023‑08‑29,174,73,52,-5,31,66,167,34,6,91
10,Fast Car,Luke Combs,contemporary country,2023,2023‑08‑29,98,60,71,-6,12,67,265,19,3,91
11,Nonsense,Sabrina Carpenter,pop,2022,2023‑08‑29,139,70,74,-5,22,73,164,3,3,90
12,Rush,Troye Sivan,australian pop,2023,2023‑08‑29,126,84,74,-8,11,35,156,0,6,90
13,Watermelon Sugar,Harry Styles,pop,2019,2023‑08‑29,95,82,55,-4,34,56,174,12,5,90
14,SNAP,Rosa Linn,alt z,2022,2023‑08‑29,170,64,56,-8,45,53,180,11,6,89
15,Sure Thing,Miguel,r&b,2010,2023‑08‑29,81,61,68,-8,19,50,195,3,10,89
16,Single Soon,Selena Gomez,pop,2023,2023‑08‑29,105,57,61,-6,13,75,172,1,8,89
17,I Like You (A Happier Song) (with Doja Cat),Post Malone,dfw rap,2022,2023‑08‑29,101,67,73,-6,12,47,193,12,8,87
18,Where Are You Now,Lost Frequencies,belgian edm,2021,2023‑08‑29,121,64,67,-8,17,26,148,52,10,87
19,Shivers,Ed Sheeran,pop,2021,2023‑08‑29,141,86,79,-3,4,82,208,28,9,87
