,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
1,Giant Steps - 2020 Remaster,John Coltrane,bebop,2020,2023‑09‑01,147,42,42,-13,19,52,288,19,6,57
2,This I Dig Of You - Remastered 1999/Rudy Van Gelder Edition,Hank Mobley,bebop,1960,2023‑09‑01,123,67,59,-8,7,79,386,74,5,48
3,Move,Miles Davis,cool jazz,1957,2023‑09‑01,136,41,50,-12,12,84,154,75,7,48
4,Cherokee,Clifford Brown,bebop,1955,2023‑09‑01,87,66,43,-9,9,64,344,42,5,43
5,Boogie Stop Shuffle,Charles Mingus,avant-garde jazz,1959,2023‑09‑01,129,54,57,-12,30,68,299,39,6,43
6,Yes Or No - Rudy Van Gelder 24 Bit Mastering/1999 Digital Remaster,Wayne Shorter,contemporary post-bop,1965,2023‑09‑01,129,68,47,-8,8,48,399,71,4,43
7,Leap Frog - Take 11 / Take 6 / Master Take,Dizzy Gillespie,bebop,1952,2023‑09‑01,78,73,56,-9,35,73,157,44,10,43
8,Bloomdido - Master Take,Charlie Parker,bebop,1986,2023‑09‑01,111,60,54,-10,7,80,206,37,5,42
9,Daahoud,Clifford Brown,bebop,1954,2023‑09‑01,121,64,50,-12,4,71,245,53,3,41
10,Without a Song - Remastered,Sonny Rollins,bebop,1962,2023‑09‑01,112,28,61,-16,14,34,447,75,5,41
11,Funkallero,Stan Getz,bebop,1973,2023‑09‑01,128,56,51,-12,13,64,401,33,4,41
12,With A Song In My Heart - Remastered 1998,Sonny Clark,bebop,1998,2023‑09‑01,77,49,52,-9,28,81,475,66,4,40
13,Matrix,Chick Corea,bebop,2002,2023‑09‑01,89,63,43,-11,11,64,388,57,6,39
14,Seven Steps to Heaven,Miles Davis,cool jazz,1963,2023‑09‑01,143,44,49,-14,12,66,384,23,5,39
15,Lazy Bird - Remastered 2003/Rudy Van Gelder Edition,John Coltrane,bebop,1958,2023‑09‑01,125,54,53,-9,5,65,427,76,5,38
16,Strode Rode - Rudy Van Gelder Remaster,Sonny Rollins,bebop,1957,2023‑09‑01,130,54,45,-8,17,84,315,65,3,38
17,Au Privave,Sonny Stitt,bebop,2008,2023‑09‑01,136,51,48,-12,14,72,240,42,4,38
