song title,artist,energy
Chop Suey!,System Of A Down,93
Just Pretend,Bad Omens,83
Monster,Skillet,96
Popular Monster,Falling In Reverse,90
Watch The World Burn,Falling In Reverse,78
Bodies,Drowning Pool,93
THE DEATH OF PEACE OF MIND,Bad Omens,71
Voices In My Head,Falling In Reverse,90
Animal I Have Become,Three Days Grace,85
The Summoning,Sleep Token,70
FEEL NOTHING,The Plot In You,83
Lost,Linkin Park,80
I Am Machine,Three Days Grace,97
Time of Dying,Three Days Grace,87
DiE4u,Bring Me The Horizon,92
Parasite Eve,Bring Me The Horizon,80
There’s Fear In Letting Go,I Prevail,87
Self-Destruction,I Prevail,98
Bad Man - Kordhell Remix,Disturbed,96
Misery,Memphis May Fire,90
You Asked for It,Emmure,78
Waiting On The Sky To Change,STARSET,93
Do Or Die,Magnolia Park,94
Judgment Day,Five Finger Death Punch,93
War,Story Of The Year,82
Manic,Wage War,87
Enemies,The Score,83
Better Days,Currents,98
Smells Like Teen Spirit,Witchz,50
Never There,Currents,56
I Am The Weapon,Three Days Grace,83
All of This Is Fleeting,Polaris,95
Dad Vibes,Limp Bizkit,89
deep fake,Architects,86
Hunted,Egypt Central,94
Survivor,All Good Things,90
Can You Feel My Heart - Remix,Bring Me The Horizon,88
The Optimist,10 Years,91
FWYTYK,I Prevail,87
Detonate,G2,81
NOT JUST BREATHING,The Plot In You,83
Remember Me,Currents,92
Visceral,I Prevail,95
Pick Up Behind You,Five Finger Death Punch,98
FEEL NOTHING - RESET,The Plot In You,89
TIRED OF WINNING,NOTHING MORE,95
Cut The Line (feat. Beartooth),Papa Roach,94
Guiding Light,Caskets,89
HEAVYWEIGHT,Ryan Oakes,92
RISE,YMIR,73
Giant Steps - 2020 Remaster,John Coltrane,42
This I Dig Of You - Remastered 1999/Rudy Van Gelder Edition,Hank Mobley,67
Move,Miles Davis,41
Cherokee,Clifford Brown,66
Boogie Stop Shuffle,Charles Mingus,54
Yes Or No - Rudy Van Gelder 24 Bit Mastering/1999 Digital Remaster,Wayne Shorter,68
Leap Frog - Take 11 / Take 6 / Master Take,Dizzy Gillespie,73
Bloomdido - Master Take,Charlie Parker,60
Daahoud,Clifford Brown,64
Without a Song - Remastered,Sonny Rollins,28
Funkallero,Stan Getz,56
With A Song In My Heart - Remastered 1998,Sonny Clark,49
Matrix,Chick Corea,63
Seven Steps to Heaven,Miles Davis,44
Lazy Bird - Remastered 2003/Rudy Van Gelder Edition,John Coltrane,54
Strode Rode - Rudy Van Gelder Remaster,Sonny Rollins,54
Au Privave,Sonny Stitt,51
I Could Write A Book,Miles Davis Quintet,60
Nica's Dream - Remastered 2005,Horace Silver,56
Minors Holiday - Rudy Van Gelder Edition/2007 Digital Remaster,Kenny Dorham,81
Locomotion - Remastered 2003/Rudy Van Gelder Edition,John Coltrane,70
Mr. P.C. - 2020 Remaster,John Coltrane,49
Scrapple From The Apple - Rudy Van Gelder Edition / 2003 Remaster,Dexter Gordon,60
Ande - Remastered 2007 / Rudy Van Gelder Edition,Louis Smith,73
Ornithology,Charlie Parker,41
Minority,Bill Evans,42
Now's the Time - Remastered Version,Sonny Stitt,35
Salt Peanuts,Dizzy Gillespie Quintet,61
Airegin,Wes Montgomery,41
Limehouse Blues,The Cannonball Adderley Quintet,51
The Blues Walk,Clifford Brown,71
One Finger Snap - Remastered,Herbie Hancock,80
Alamode,Art Blakey & The Jazz Messengers,43
52nd Street Theme - Remastered 1998/Rudy Van Gelder Edition,Bud Powell,59
Impressions - Live At The Half Note /1965,Wes Montgomery,63
Donna Lee,Lee Konitz,42
Nutville,Horace Silver Quintet,62
Arietis - Remastered 2003/Rudy Van Gelder Edition,Freddie Hubbard,48
Wee (Allen's Alley),Stan Getz,37
Super Jet,Tadd Dameron,64
Hora Decubitus,Charles Mingus,73
The Natives Are Restless Tonight - Rudy Van Gelder Edition/1999 Digital Remaster,Horace Silver,80
Easy To Love,Cannonball Adderley Sextet,58
Toy,Cannonball Adderley,42
A Night In Tunisia,McCoy Tyner,50
Open Sesame - Remastered 2002/Rudy Van Gelder Edition,Freddie Hubbard,67
Steps-What Was - Digitally Remastered,Chick Corea,63
The Bridge - Remastered,Sonny Rollins,51
Grand Central,The Cannonball Adderley Quintet,42
Humph - Rudy Van Gelder 24-Bit Mastering / 1998 Digital Remaster,Thelonious Monk,66
Blues And The Abstract Truth,Oliver Nelson,61
Vendetta,Cory Weeds,65
The Eternal Triangle,Dizzy Gillespie,67
Four By Five,McCoy Tyner,72
Just One Of Those Things,Lee Morgan,46
The Way You Look Tonight - Remastered 2009,Johnny Griffin,86
Be-Bop - Remastered 2001/Rudy Van Gelder Edition,Sonny Clark Trio,53
Our Man Higgins,Lee Morgan,64
A Shade Of Jade - Rudy Van Gelder Edition/2003 Digital Remaster/24 Bit Mastering,Joe Henderson,65
Roll Call - Rudy Van Gelder Edition,Hank Mobley,68
Cranky Spanky,Art Blakey & The Jazz Messengers,57
Moose The Mooche,Art Blakey,72
In 'N Out - Remastered 2003 / Rudy Van Gelder Edition,Joe Henderson,65
The Surrey With The Fringe On Top - Remastered 2003/Rudy Van Gelder Edition,McCoy Tyner,61
Philly Mignon - Rudy Van Gelder 24-Bit Remastering/2006,Freddie Hubbard,69
So Far So Good,Sun Of They,7
Apricity,Imala Zir,24
Solatium,Imber Sun,11
efflorescence,Far & Beyond,21
Gather My Thoughts,Josef Briem,5
Infinite Sustain,Amaranth Cove,21
Augury,Lynx XII,6
Fresh Paint,Shape Of Our Dreams,10
mind reader,Haltura Arnadottir,6
emotions,Josef Briem,6
Orange Sky,Auðura,11
The End Is The Beginning,Search For Atlantis,2
Prism,Lifou,11
the echoing truth,Tall Towers,5
Desert Sunset,Tranquil Oasis,10
Hovering Above,Auðura,4
pull me in,Sun Of They,19
Mastermind,Josef Briem,10
Bridges,Woven Hearts,11
In The Distance,Flovia,16
Vision,William Reed,2
Dreamshaper,Agnes Lundh,7
Spaces,William Reed,12
Mind over matter,Josef Briem,12
Wish I Knew,Spaced Out Dreams,9
Good deeds,Joy Parade,2
Afloat,GLADE,15
Sightings,Agnes Lundh,5
Relentless,Silver Falls,7
Seeing Sound,San Bernadino 5,10
Infra,Tiger Throws,3
Tide,Nomad Spector,21
Whispering,Space Access,14
Tell A Story,BBG's,18
Peaches,Tranquil Oasis,17
Steady figures,Imber Sun,19
circumstances,Garden Collective,10
Echoed Memory,Equanimity Seekers,13
Unperturbed,Gate.74,13
bounce back,Far & Beyond,11
Keep It Together,Naómi Sun,6
Chasing the Horizon,Dance Of Centuries,14
Pyramids,Humasnó,9
Crystals,Sun Of They,19
Daydreams Again,Sisters Of Marks,15
The inner circle,Dreams Ahead,13
Distance,Ben Tofft,7
Sounds from Home,Haltura Arnadottir,6
The Narrator,Dance Of Centuries,9
What You Were Looking For,Broken Legacy,9
Upside,Wimmel,3
blue dream mountain,bonecatcher,5
river song,Spaced Out Dreams,13
Breaking the Barrier,Dreams Ahead,7
Blue Hour,Pireas,17
Canvas,Philó,4
Icicles,Joy Parade,10
Simple Thing,Sisters Of Marks,19
Summer Vibes,Serenity Within,13
Open to it,Far & Beyond,11
Sharing is Caring,Imber Sun,10
Cherubim,Miller & Bronx,4
Chatoyant,Sometimes We Fall,7
Victory Laps,Josef Briem,4
Sunday on my mind,Joy Parade,9
Observations From A Faraway Place,Rannar Sillard,12
Places,June Wysh,11
Nowhere,Nomad Spector,10
Under the Horizon,Hers Lake,2
Memories of Tomorrow,Imber Sun,7
