,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
1,So Far So Good,Sun Of They,,2022,2023‑09‑08,74,7,58,-23,11,24,152,98,3,65
2,Apricity,Imala Zir,,2022,2023‑09‑08,75,24,47,-23,12,5,158,84,3,64
3,Solatium,Imber Sun,,2022,2023‑09‑08,112,11,44,-19,11,11,127,99,4,63
4,efflorescence,Far & Beyond,,2022,2023‑09‑08,84,21,51,-23,11,7,144,84,3,63
5,Gather My Thoughts,Josef Briem,,2022,2023‑09‑08,129,5,35,-21,11,6,184,95,4,63
6,Infinite Sustain,Amaranth Cove,background music,2019,2023‑09‑08,124,21,53,-19,11,9,149,80,3,63
7,Augury,Lynx XII,528hz,2023,2023‑09‑08,75,6,59,-22,11,40,156,98,5,62
8,Fresh Paint,Shape Of Our Dreams,,2022,2023‑09‑08,118,10,38,-21,12,6,155,96,4,62
9,mind reader,Haltura Arnadottir,,2023,2023‑09‑08,75,6,51,-21,10,14,170,96,4,62
10,emotions,Josef Briem,,2023,2023‑09‑08,67,6,42,-19,13,16,165,96,4,61
11,Orange Sky,Auðura,,2023,2023‑09‑08,80,11,60,-20,11,6,129,97,4,61
12,The End Is The Beginning,Search For Atlantis,background music,2023,2023‑09‑08,74,2,64,-20,12,25,136,92,5,61
13,Prism,Lifou,,2023,2023‑09‑08,72,11,60,-19,11,19,142,99,3,61
14,the echoing truth,Tall Towers,,2023,2023‑09‑08,74,5,30,-21,11,9,127,91,3,60
15,Desert Sunset,Tranquil Oasis,,2023,2023‑09‑08,144,10,50,-21,11,7,150,93,4,60
16,Hovering Above,Auðura,,2023,2023‑09‑08,80,4,52,-25,11,7,125,97,3,60
17,pull me in,Sun Of They,,2023,2023‑09‑08,74,19,46,-22,11,8,186,94,3,60
18,Mastermind,Josef Briem,,2023,2023‑09‑08,74,10,59,-19,11,17,178,90,4,60
19,Bridges,Woven Hearts,calming instrumental,2023,2023‑09‑08,148,11,61,-18,11,16,165,91,5,60
20,In The Distance,Flovia,,2023,2023‑09‑08,138,16,56,-18,11,23,119,98,3,59
21,Vision,William Reed,,2023,2023‑09‑08,36,2,25,-23,10,14,128,98,4,59
22,Dreamshaper,Agnes Lundh,,2023,2023‑09‑08,65,7,50,-21,11,8,164,96,4,59
23,Spaces,William Reed,,2023,2023‑09‑08,75,12,50,-20,11,5,136,87,3,59
24,Mind over matter,Josef Briem,,2023,2023‑09‑08,59,12,52,-19,11,16,154,98,4,59
25,Wish I Knew,Spaced Out Dreams,,2023,2023‑09‑08,74,9,32,-22,11,9,137,86,5,59
26,Good deeds,Joy Parade,,2023,2023‑09‑08,75,2,38,-19,11,14,139,99,4,58
27,Afloat,GLADE,,2023,2023‑09‑08,72,15,35,-16,14,19,160,99,4,58
28,Sightings,Agnes Lundh,,2023,2023‑09‑08,148,5,58,-21,11,21,165,98,3,58
29,Relentless,Silver Falls,,2023,2023‑09‑08,71,7,35,-23,11,12,164,98,3,58
30,Seeing Sound,San Bernadino 5,,2023,2023‑09‑08,84,10,53,-21,11,9,124,84,3,58
31,Infra,Tiger Throws,,2023,2023‑09‑08,78,3,45,-24,12,5,141,91,4,58
32,Tide,Nomad Spector,,2023,2023‑09‑08,140,21,60,-19,11,13,151,90,4,58
33,Whispering,Space Access,,2023,2023‑09‑08,140,14,62,-26,11,13,133,86,4,58
34,Tell A Story,BBG's,,2023,2023‑09‑08,79,18,35,-23,18,8,160,93,4,57
35,Peaches,Tranquil Oasis,,2023,2023‑09‑08,73,17,49,-23,11,16,145,90,3,57
36,Steady figures,Imber Sun,,2023,2023‑09‑08,74,19,54,-17,11,12,161,86,4,57
37,circumstances,Garden Collective,,2023,2023‑09‑08,134,10,59,-17,11,19,193,98,4,57
38,Echoed Memory,Equanimity Seekers,,2023,2023‑09‑08,116,13,62,-17,11,20,128,96,4,57
39,Unperturbed,Gate.74,,2023,2023‑09‑08,120,13,65,-20,9,9,158,84,6,57
40,bounce back,Far & Beyond,,2023,2023‑09‑08,68,11,54,-20,8,14,179,96,4,57
41,Keep It Together,Naómi Sun,,2023,2023‑09‑08,75,6,61,-23,11,14,136,95,3,57
42,Chasing the Horizon,Dance Of Centuries,,2023,2023‑09‑08,74,14,58,-19,8,12,159,97,4,56
43,Pyramids,Humasnó,,2023,2023‑09‑08,136,9,59,-16,10,15,122,97,5,56
44,Crystals,Sun Of They,,2023,2023‑09‑08,109,19,39,-16,12,18,182,98,3,56
45,Daydreams Again,Sisters Of Marks,calming instrumental,2023,2023‑09‑08,93,15,65,-21,21,12,166,95,4,56
46,The inner circle,Dreams Ahead,,2023,2023‑09‑08,75,13,55,-16,11,8,184,93,3,56
47,Distance,Ben Tofft,calming instrumental,2023,2023‑09‑08,127,7,67,-19,11,30,132,96,5,56
48,Sounds from Home,Haltura Arnadottir,,2023,2023‑09‑08,74,6,48,-17,11,15,193,94,4,56
49,The Narrator,Dance Of Centuries,,2023,2023‑09‑08,74,9,53,-16,12,12,150,98,4,55
50,What You Were Looking For,Broken Legacy,,2023,2023‑09‑08,124,9,76,-20,11,17,200,94,5,55
51,Upside,Wimmel,,2023,2023‑09‑08,75,3,41,-26,9,7,167,92,3,55
52,blue dream mountain,bonecatcher,chill out,2023,2023‑09‑08,75,5,59,-22,13,7,150,98,3,55
53,river song,Spaced Out Dreams,,2023,2023‑09‑08,101,13,60,-20,11,18,163,97,3,55
54,Breaking the Barrier,Dreams Ahead,,2023,2023‑09‑08,67,7,56,-18,11,25,151,98,4,55
55,Blue Hour,Pireas,,2023,2023‑09‑08,84,17,62,-17,11,21,141,99,4,55
56,Canvas,Philó,,2023,2023‑09‑08,85,4,47,-23,10,8,156,92,4,54
57,Icicles,Joy Parade,,2023,2023‑09‑08,68,10,41,-18,11,18,147,97,4,54
58,Simple Thing,Sisters Of Marks,calming instrumental,2023,2023‑09‑08,150,19,49,-21,11,14,181,76,3,54
59,Summer Vibes,Serenity Within,,2023,2023‑09‑08,130,13,55,-18,14,15,157,64,3,54
60,Open to it,Far & Beyond,,2023,2023‑09‑08,67,11,32,-17,11,15,144,96,4,54
61,Sharing is Caring,Imber Sun,,2023,2023‑09‑08,96,10,32,-20,11,15,132,89,3,54
62,Cherubim,Miller & Bronx,,2023,2023‑09‑08,150,4,58,-21,11,30,162,97,5,54
63,Chatoyant,Sometimes We Fall,,2023,2023‑09‑08,144,7,47,-22,11,20,164,97,4,54
64,Victory Laps,Josef Briem,,2023,2023‑09‑08,75,4,49,-23,11,27,135,94,4,54
65,Sunday on my mind,Joy Parade,,2023,2023‑09‑08,83,9,55,-17,11,14,125,99,3,54
66,Observations From A Faraway Place,Rannar Sillard,,2019,2023‑09‑08,76,12,18,-22,12,14,142,83,4,54
67,Places,June Wysh,,2023,2023‑09‑08,150,11,46,-18,11,7,135,93,3,53
68,Nowhere,Nomad Spector,,2023,2023‑09‑08,70,10,48,-21,11,4,206,93,3,53
69,Under the Horizon,Hers Lake,,2023,2023‑09‑08,78,2,39,-22,11,34,150,98,4,53
70,Memories of Tomorrow,Imber Sun,,2023,2023‑09‑08,91,7,53,-20,15,13,148,93,3,53
71,Effortless,Space Access,,2023,2023‑09‑08,72,22,60,-18,11,7,168,87,4,53
72,retrospect,Isaak Young,,2023,2023‑09‑08,35,10,30,-20,11,17,175,92,4,53
73,Once I Dreamed,Tim Gourolis,,2022,2023‑09‑08,109,13,30,-20,10,14,192,91,4,53
74,One Step,Sounds of Ellinia,,2023,2023‑09‑08,140,22,50,-17,11,17,145,86,4,53
75,Epoque,ARCADIA,,2023,2023‑09‑08,107,18,56,-15,18,5,126,30,3,53
76,Winter Sun,Sun Of They,,2022,2023‑09‑08,144,22,39,-23,11,28,142,91,3,53
77,Progress,Ever So Blue,background piano,2019,2023‑09‑08,100,2,27,-27,10,4,139,100,5,53
78,Feel the Breeze,Far & Beyond,,2023,2023‑09‑08,93,5,52,-24,11,6,168,98,4,52
79,Tempestade,Philó,,2023,2023‑09‑08,75,4,48,-23,11,8,168,94,3,52
80,Junifer,The Aiko,,2023,2023‑09‑08,65,13,50,-16,11,5,137,98,3,52
81,sox,Stones Sailing,,2023,2023‑09‑08,64,7,45,-21,11,9,175,26,5,52
82,Fill Up The Sky,Eroded Sky,background music,2023,2023‑09‑08,120,12,67,-17,9,43,205,28,5,52
83,Dig Deeper,Dreams Ahead,,2023,2023‑09‑08,74,5,55,-22,9,14,140,86,5,52
84,phosphorescence,Garden Collective,,2023,2023‑09‑08,76,12,45,-22,11,10,146,96,3,52
85,Wheel of Zodiac,Spaced Out Dreams,,2023,2023‑09‑08,82,6,30,-20,11,15,135,97,4,52
86,daffodils,Tall Towers,,2023,2023‑09‑08,77,7,38,-19,11,13,146,99,4,52
87,Midnight Land,Akustique,,2023,2023‑09‑08,100,12,67,-20,11,15,142,93,4,52
88,Fox Mountain,Alderville,,2023,2023‑09‑08,140,10,39,-22,14,11,145,92,3,52
89,Feathers In The Sky,Agnes Lundh,,2023,2023‑09‑08,92,11,55,-20,12,8,144,98,3,52
90,World Above,Echo Ark,chill guitar,2023,2023‑09‑08,71,31,63,-18,11,28,156,98,4,52
91,Am I Dreaming,Josef Briem,,2023,2023‑09‑08,85,5,63,-20,12,19,162,98,4,52
92,lone cowboy,Astronaut In The Desert,,2023,2023‑09‑08,71,1,26,-28,10,23,155,99,4,52
93,Dreamscapes,Agnes Lundh,,2022,2023‑09‑08,74,20,27,-20,11,23,160,91,3,52
94,Second Chances,Spaced Out Dreams,,2022,2023‑09‑08,71,13,35,-18,8,8,161,91,4,51
95,save the date,Shape Of Our Dreams,,2023,2023‑09‑08,97,4,70,-21,11,33,164,97,4,51
96,center of mass,Far & Beyond,,2022,2023‑09‑08,90,8,60,-21,12,12,144,92,4,51
97,The Object at Hand,Joy Parade,,2022,2023‑09‑08,97,12,61,-19,11,8,139,95,3,51
98,In Due Time,Tall Towers,,2022,2023‑09‑08,76,6,42,-22,12,16,136,93,4,51
99,"ready, steady, go",Hers Lake,,2023,2023‑09‑08,73,6,61,-22,11,6,148,95,4,51
100,Beginnings,Melvin Barker,,2022,2023‑09‑08,82,7,24,-22,11,15,223,86,3,51
101,Tidal Waves,Isaak Young,,2022,2023‑09‑08,97,12,60,-18,11,13,191,95,4,51
102,Frozen Lakes,Imber Sun,,2022,2023‑09‑08,79,10,43,-18,11,6,167,96,4,51
103,Staring into Infinity,Far & Beyond,,2022,2023‑09‑08,77,11,52,-20,11,12,155,96,4,51
104,Break Through,Sounds of Ellinia,,2023,2023‑09‑08,130,5,53,-23,10,4,155,99,4,51
105,Neon White,Dance Of Centuries,,2022,2023‑09‑08,60,5,31,-21,11,28,139,99,5,51
106,Number Games,Haltura Arnadottir,,2023,2023‑09‑08,117,4,58,-23,11,17,168,97,4,51
107,remembrance,Dreams Ahead,,2022,2023‑09‑08,121,6,46,-21,11,13,195,96,4,51
108,both sides of the coin,Electric Rivers,,2021,2023‑09‑08,103,16,29,-17,11,7,171,74,3,51
109,taming the tiger,Golden Horses,,2021,2023‑09‑08,115,10,25,-24,8,4,137,97,4,51
110,Look At The Stars,The Purple Stripe,background music,2021,2023‑09‑08,114,8,70,-13,11,11,216,95,6,51
111,Nuraghe,PLACID,,2022,2023‑09‑08,107,20,49,-15,12,18,150,97,3,51
112,Atlavík,Hugar,compositional ambient,2019,2023‑09‑08,127,15,54,-25,8,24,156,87,4,51
113,Curiosity,Beau Projet,background music,2019,2023‑09‑08,134,26,43,-22,11,17,156,99,6,51
114,Are You Up,Agnes Lundh,,2022,2023‑09‑08,70,13,60,-17,13,14,153,99,4,50
115,waveforms,Joy Parade,,2022,2023‑09‑08,74,18,39,-19,12,11,163,87,3,50
116,miniature things,Tall Towers,,2022,2023‑09‑08,74,14,49,-18,12,16,144,98,4,50
117,Abroad and Overseas,Imala Zir,,2022,2023‑09‑08,76,5,35,-21,11,24,168,99,4,50
118,oh! the view,Mayra R,,2021,2023‑09‑08,62,8,44,-18,10,7,162,99,3,50
119,Searching In The Night,Dreams Ahead,,2022,2023‑09‑08,80,13,47,-20,11,14,197,99,3,50
120,High Up,Mirror Inside,,2021,2023‑09‑08,144,3,28,-18,11,7,139,100,4,50
121,line up,Golden Horses,,2022,2023‑09‑08,72,9,17,-20,10,7,145,99,4,50
122,Slip Away,Elementaries,chill beats,2021,2023‑09‑08,178,10,31,-13,11,7,209,97,7,50
123,Echoes In The Night,Hers Lake,,2022,2023‑09‑08,118,9,59,-20,11,10,178,98,3,50
124,The Top Brink,Haltura Arnadottir,,2022,2023‑09‑08,68,14,48,-20,11,8,196,97,3,50
125,Zero Gravity,Rippling,background piano,2022,2023‑09‑08,219,6,19,-24,10,5,160,95,5,50
126,the light of day,Imala Zir,,2022,2023‑09‑08,82,11,38,-19,11,13,203,96,4,50
127,Follow My Voice,Niveous,,2022,2023‑09‑08,68,6,46,-22,11,27,180,98,4,50
128,The Quest,Spaced Out Dreams,,2022,2023‑09‑08,77,22,35,-18,11,20,127,94,5,50
129,embraceable,Hers Lake,,2022,2023‑09‑08,58,14,62,-17,11,13,160,98,4,50
130,Jalons,Rayonner,528hz,2022,2023‑09‑08,80,22,41,-19,9,11,151,66,3,50
131,That Bird of Prey Casts a Long Shadow,Random Forest,focus,2022,2023‑09‑08,110,19,53,-20,10,12,190,59,3,50
132,Chorale Bloom,MVS,background music,2022,2023‑09‑08,123,16,52,-19,12,6,143,83,3,50
133,Waiting for the Sunrise,Across The Great Valley,,2022,2023‑09‑08,140,16,37,-19,8,5,175,97,4,50
134,Roundabout,NYMK,,2021,2023‑09‑08,102,3,18,-23,11,12,189,82,4,50
135,deep wild,Far & Beyond,,2022,2023‑09‑08,76,2,41,-19,14,13,153,97,4,50
136,Anagram,Imala Zir,,2022,2023‑09‑08,74,9,39,-21,11,14,148,97,4,50
137,Hold My Hand,They Dream By Day,atmosphere,2021,2023‑09‑08,93,26,52,-17,11,8,162,81,4,50
138,Horizons,Hers Lake,,2022,2023‑09‑08,75,18,49,-25,11,17,163,89,3,50
139,With Resolve,Jacob Yoffee,,2020,2023‑09‑08,126,2,46,-34,11,27,130,98,4,50
140,The Five Times I Loved You,Cora Zea,background music,2020,2023‑09‑08,92,8,41,-22,11,8,206,99,3,50
141,Vague,Amaranth Cove,background music,2020,2023‑09‑08,140,25,32,-18,12,13,143,88,4,50
142,Collapse Into Light,Evin Iris,,2019,2023‑09‑08,122,23,31,-18,10,6,180,93,3,50
143,nameless wonder,Dreams Ahead,,2022,2023‑09‑08,74,10,57,-19,11,13,160,95,4,49
144,circles,Niveous,,2022,2023‑09‑08,77,11,55,-19,11,9,152,96,4,49
145,Horoscopes,Isaak Young,,2022,2023‑09‑08,174,17,46,-14,31,13,140,99,4,49
146,In Due Time,Broken Legacy,,2022,2023‑09‑08,104,11,67,-20,10,22,166,80,4,49
147,apple of my eye,Spaced Out Dreams,,2022,2023‑09‑08,112,13,67,-19,11,20,150,99,4,49
148,Return To Sender,Dreams Ahead,,2022,2023‑09‑08,74,4,48,-21,11,13,188,96,3,49
149,Silver Lining,Agnes Lundh,,2022,2023‑09‑08,75,4,45,-20,11,14,142,95,3,49
150,Ultraviolet,Josef Briem,,2022,2023‑09‑08,78,5,57,-22,11,13,174,99,4,49
151,neck of the woods,Dreams Ahead,,2022,2023‑09‑08,79,4,22,-19,11,12,146,96,4,49
152,paragraphs,Dance Of Centuries,,2022,2023‑09‑08,116,8,65,-18,11,12,124,99,4,49
153,Humane,Andrew Oye,,2022,2023‑09‑08,134,9,46,-20,14,6,154,80,4,49
154,Tied Together,Agnes Lundh,,2022,2023‑09‑08,71,8,57,-20,10,38,157,96,5,49
155,Chasing Tides,Josef Briem,,2022,2023‑09‑08,75,2,49,-22,10,6,148,93,3,49
156,In A Week Or Two,Isaak Young,,2022,2023‑09‑08,65,7,41,-20,7,8,151,90,3,49
157,summer silence,Niveous,,2022,2023‑09‑08,69,6,34,-18,12,17,176,96,4,49
158,Eulogy,Woven Hearts,calming instrumental,2022,2023‑09‑08,57,9,14,-23,10,9,148,81,4,49
159,Gentle Whisper,Josef Briem,,2022,2023‑09‑08,150,26,47,-23,11,7,179,94,4,49
160,heels to the heavens,Dössell,,2021,2023‑09‑08,64,16,30,-17,11,5,178,95,3,49
161,Breathe,Night Songs,,2022,2023‑09‑08,78,12,54,-21,8,11,161,81,3,49
162,Undeniable,Hollow Light,background music,2022,2023‑09‑08,110,19,53,-18,8,8,175,85,3,49
163,Mývatn,Haltura Arnadottir,,2022,2023‑09‑08,77,20,39,-24,10,13,159,91,3,49
164,synergy,Dreams Ahead,,2022,2023‑09‑08,120,13,59,-20,11,12,184,90,5,49
165,aesthetics,Agnes Lundh,,2022,2023‑09‑08,171,7,33,-16,11,23,134,98,4,49
166,Heliosphere,Haltura Arnadottir,,2022,2023‑09‑08,71,6,37,-20,9,17,188,95,4,49
167,bewildered,Garden Collective,,2022,2023‑09‑08,85,12,55,-20,11,12,162,91,4,49
168,In Every Heartbeat,Axione,,2022,2023‑09‑08,200,7,33,-25,12,4,163,94,4,49
169,The Outlook,Benjamin Martins,background music,2021,2023‑09‑08,170,17,38,-24,10,4,179,96,5,49
170,Mount Soul,Nova Explora,,2021,2023‑09‑08,120,6,41,-22,11,3,147,93,4,49
171,Coastlines,Garden Collective,,2022,2023‑09‑08,83,11,43,-26,11,5,179,83,3,49
172,Undiscovered,Elementaries,chill beats,2022,2023‑09‑08,114,13,35,-16,11,4,219,86,4,49
173,ouma,Fall Ball,,2021,2023‑09‑08,134,7,21,-21,30,9,178,85,4,49
174,eternal wind down,Riley Power,,2021,2023‑09‑08,153,25,33,-19,13,13,184,94,4,49
175,Into The Deep End,The Purple Stripe,background music,2022,2023‑09‑08,124,14,62,-12,8,6,174,94,4,49
176,Flowing,Lucas Delphy,,2020,2023‑09‑08,72,14,20,-20,21,14,131,90,3,49
177,Stillness Within,Roots and Recognition,,2021,2023‑09‑08,111,10,33,-17,11,13,176,97,4,49
178,Ethereal Glow,Far & Beyond,,2022,2023‑09‑08,74,11,36,-24,11,7,152,91,3,49
179,two,cloudcrush,,2021,2023‑09‑08,80,16,60,-16,11,4,188,42,4,49
180,Everlonging,Niveous,,2022,2023‑09‑08,139,15,21,-22,11,12,127,97,3,49
181,Will to Live,Jacob Yoffee,,2020,2023‑09‑08,112,11,43,-30,9,10,136,95,4,49
