,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
1,Chop Suey!,System Of A Down,alternative metal,2001,1969‑12‑31,127,93,42,-4,13,29,210,0,12,86
2,Just Pretend,Bad Omens,american metalcore,2022,1969‑12‑31,140,83,46,-5,10,20,205,0,8,81
3,Monster,Skillet,alternative metal,2009,1969‑12‑31,135,96,64,-2,8,69,178,4,7,80
4,Popular Monster,Falling In Reverse,alternative metal,2019,1969‑12‑31,165,90,46,-4,10,36,221,1,9,78
5,Watch The World Burn,Falling In Reverse,alternative metal,2023,1969‑12‑31,162,78,40,-6,21,35,204,1,13,78
6,Bodies,Drowning Pool,alternative metal,2001,1969‑12‑31,131,93,66,-3,14,54,202,0,7,78
7,THE DEATH OF PEACE OF MIND,Bad Omens,american metalcore,2022,1969‑12‑31,155,71,47,-6,13,27,241,9,5,77
8,Voices In My Head,Falling In Reverse,alternative metal,2022,1969‑12‑31,173,90,55,-3,13,64,191,3,16,76
9,Animal I Have Become,Three Days Grace,alternative metal,2006,1969‑12‑31,122,85,55,-4,13,51,231,0,3,76
10,The Summoning,Sleep Token,prog metal,2023,1969‑12‑31,173,70,40,-5,5,15,396,0,4,75
11,FEEL NOTHING,The Plot In You,metalcore,2018,1969‑12‑31,144,83,45,-5,11,23,217,0,6,74
12,Lost,Linkin Park,alternative metal,2023,1969‑12‑31,105,80,60,-5,34,46,199,0,3,71
13,I Am Machine,Three Days Grace,alternative metal,2015,1969‑12‑31,75,97,40,-5,19,48,200,0,7,70
14,Time of Dying,Three Days Grace,alternative metal,2006,1969‑12‑31,198,87,31,-4,52,45,186,0,6,69
15,DiE4u,Bring Me The Horizon,melodic metalcore,2021,1969‑12‑31,160,92,36,-4,26,26,207,0,36,69
16,Parasite Eve,Bring Me The Horizon,melodic metalcore,2020,1969‑12‑31,102,80,59,-5,38,23,292,3,15,68
17,There’s Fear In Letting Go,I Prevail,alternative metal,2022,1969‑12‑31,123,87,49,-6,59,14,235,0,7,68
18,Self-Destruction,I Prevail,alternative metal,2022,1969‑12‑31,172,98,42,-5,35,39,146,0,40,67
19,Bad Man - Kordhell Remix,Disturbed,alternative metal,2023,1969‑12‑31,95,96,58,-2,48,26,154,0,4,66
20,Misery,Memphis May Fire,melodic metalcore,2022,1969‑12‑31,85,90,43,-3,35,55,192,0,14,65
21,You Asked for It,Emmure,deathcore,2017,1969‑12‑31,103,78,51,-8,8,4,92,0,5,64
22,Waiting On The Sky To Change,STARSET,future rock,2022,1969‑12‑31,168,93,37,-4,35,31,244,0,12,64
23,Do Or Die,Magnolia Park,pop punk,2023,1969‑12‑31,175,94,41,-5,91,35,171,0,13,63
24,Judgment Day,Five Finger Death Punch,alternative metal,2022,1969‑12‑31,148,93,53,-5,26,51,293,0,7,63
25,War,Story Of The Year,neon pop punk,2023,1969‑12‑31,100,82,57,-5,68,64,174,0,8,63
26,Manic,Wage War,melodic metalcore,2021,1969‑12‑31,180,87,47,-5,21,33,165,0,10,63
27,Enemies,The Score,modern alternative rock,2022,1969‑12‑31,155,83,56,-6,13,30,162,1,3,63
28,Better Days,Currents,melodic metalcore,2020,1969‑12‑31,76,98,37,-5,13,21,248,0,16,62
29,Smells Like Teen Spirit,Witchz,,2021,1969‑12‑31,114,50,66,-6,16,26,128,0,4,62
30,Never There,Currents,melodic metalcore,2020,1969‑12‑31,87,56,21,-9,19,4,109,19,3,62
