,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
1,Blinding Lights,The Weeknd,canadian contemporary r&b,2020,2021‑05‑18,171,73,51,-6,9,33,200,0,6,92
2,Heat Waves,Glass Animals,gauze pop,2020,2021‑09‑19,81,53,76,-7,9,53,239,44,9,91
3,Watermelon Sugar,Harry Styles,pop,2019,2021‑05‑18,95,82,55,-4,34,56,174,12,5,90
4,Save Your Tears,The Weeknd,canadian contemporary r&b,2020,2021‑05‑18,118,83,68,-5,54,64,216,2,3,89
5,drivers license,Olivia Rodrigo,pop,2021,2021‑05‑18,144,43,56,-9,11,14,242,77,6,88
6,deja vu,Olivia Rodrigo,pop,2021,2021‑05‑18,181,61,44,-7,37,18,216,58,11,88
7,Happier Than Ever,Billie Eilish,art pop,2021,2021‑10‑04,81,23,33,-9,13,30,299,77,3,88
8,traitor,Olivia Rodrigo,pop,2021,2022‑08‑28,101,34,38,-8,12,8,229,69,3,88
9,good 4 u,Olivia Rodrigo,pop,2021,2021‑05‑18,167,66,56,-5,8,69,178,34,15,87
10,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,pop,2021,2021‑12‑01,93,52,63,-9,9,21,613,27,3,87
11,Woman,Doja Cat,dance pop,2021,2021‑09‑09,108,76,82,-4,12,88,173,9,9,87
12,Shivers,Ed Sheeran,pop,2021,2021‑10‑04,141,86,79,-3,4,82,208,28,9,87
13,Bad Habits,Ed Sheeran,pop,2021,2021‑06‑27,126,89,81,-4,37,54,231,5,3,86
14,STAY (with Justin Bieber),The Kid LAROI,australian hip hop,2021,2021‑07‑15,170,76,59,-5,10,48,142,4,5,86
15,Fair Trade (with Travis Scott),Drake,canadian hip hop,2021,2021‑09‑09,168,47,67,-9,22,29,291,5,26,86
16,Cold Heart - PNAU Remix,Elton John,glam rock,2021,2021‑09‑19,116,80,80,-6,10,94,203,3,3,86
17,Beggin',Måneskin,indie rock italiano,2017,2021‑07‑21,134,80,71,-5,36,59,212,13,5,85
18,telepatía,Kali Uchis,colombian pop,2020,2021‑05‑18,84,52,65,-9,20,55,160,11,5,85
19,Love Story (Taylor’s Version),Taylor Swift,pop,2021,2021‑05‑18,119,79,63,-4,10,42,236,14,3,85
20,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,canadian pop,2021,2021‑05‑18,90,70,68,-6,42,46,198,32,12,84
21,Easy On Me,Adele,british soul,2021,2021‑10‑14,142,37,60,-8,13,13,225,58,3,84
