,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
1,"Dolly Suite, Op. 56: I. Berceuse",Gabriel Fauré,classical,2015,2023‑08‑18,63,1,37,-34,9,28,177,100,4,66
2,Carmen Suite No. 1 (Arr. E. Guiraud): IV. Séguedille,Georges Bizet,classical,2017,2023‑08‑18,176,1,25,-37,16,19,122,95,4,61
3,"Symphony No. 6 in F Major, Op. 68, ""Pastorale"": I. Allegro ma non troppo, ""Awakening of cheerful feelings on arriving in the countryside""",Ludwig van Beethoven,classical,2022,2023‑08‑18,117,6,37,-23,13,28,712,96,4,56
4,Merry-Go-Round of Life,Joe Hisaishi,anime,2023,2023‑08‑18,89,19,22,-15,10,11,165,96,3,56
5,amour,Jean-Michel Blais,,2022,2023‑08‑18,132,21,18,-14,10,13,278,85,4,55
6,"Antiche Danze Ed Arie Per Liuto (Ancient Airs And Dances), P. 114: IV. Italiana",Ottorino Respighi,classical,1997,2023‑08‑18,197,2,30,-35,7,34,168,100,6,54
7,"Salut d'amour, Op. 12",Edward Elgar,british modern classical,2014,2023‑08‑18,95,13,17,-22,13,5,175,90,5,53
8,"Boccherini: String Quintet in E Major, Op. 13 No. 6, G. 282: III. Minuetto - Trio",Luigi Boccherini,classical,1986,2023‑08‑18,85,4,50,-26,14,43,238,96,3,51
9,"3 Nouvelles etudes, Op. posth.: II. Etude No. 26 in A-Flat Major",Frédéric Chopin,classical,2000,2023‑08‑18,74,1,21,-37,10,8,151,100,4,51
10,"Widmung, Op. 25 No. 1",Robert Schumann,early romantic era,2021,2023‑08‑18,74,3,24,-23,11,4,238,99,5,51
11,"GoldBergHain (Quodlibet on ""Kraut und Rüben haben mich vertrieben"") for Violin & String Orchestra",Stephan Koncz,german orchestra,2020,2023‑08‑18,117,13,39,-20,17,41,165,79,5,50
12,La Gioconda / Act 3: Dance Of The Hours,Amilcare Ponchielli,classical,2012,2023‑08‑18,120,1,55,-31,22,16,163,92,5,50
13,Copland: Appalachian Spring: VII. Doppio movimento (Variations on a Shaker Hymn - Simple Gifts),Aaron Copland,american modern classical,2014,2023‑08‑18,82,10,21,-17,10,30,181,97,4,49
14,"Concerto a 5 in B flat, Op. 7, no.10 for Strings and Continuo: 3. Allegro",Tomaso Albinoni,baroque,1992,2023‑08‑18,107,17,59,-19,10,80,97,90,4,48
15,"Nonet in E-Flat Major, Op. 38: III. Scherzo. Vivace",Louise Farrenc,early romantic era,2010,2023‑08‑18,79,5,39,-25,9,31,308,98,4,47
16,My Neighbour TOTORO,Joe Hisaishi,anime,2020,2023‑08‑18,80,30,18,-14,8,11,247,77,4,47
17,"The Nutcracker, Op. 71, TH.14 / Act 2: No. 12e Dance of the Reed Pipes",Pyotr Ilyich Tchaikovsky,classical,1998,2023‑08‑18,143,12,40,-27,21,35,134,93,4,46
18,"Petite suite de concert, Op. 77: III. Un sonnet d'amour",Samuel Coleridge-Taylor,light music,2000,2023‑08‑18,71,1,10,-35,13,6,185,90,4,46
19,Miracles,Alexis Ffrench,neo-classical,2023,2023‑08‑18,152,10,21,-22,14,10,204,95,4,46
20,"An der schönen blauen Donau, Walzer, Op. 314",Johann Strauss II,classical,2020,2023‑08‑18,200,9,21,-19,7,14,622,98,4,45
21,"Préludes / Book 1, L. 117: VIII. La fille aux cheveux de lin (Arr. Garrett / van der Heijden for Violin, Flute and Orchestra)",Claude Debussy,classical,2022,2023‑08‑18,99,28,22,-13,12,10,157,92,4,43
22,Canarios,Gaspar Sanz,baroque,1997,2023‑08‑18,103,8,34,-24,12,74,131,99,4,43
23,Kitsch-Musik: III. Allegretto,Valentin Silvestrov,ukrainian classical,2013,2023‑08‑18,65,0,18,-42,9,16,182,100,4,43
24,The Lark Ascending: I. Andante sostenuto,Ralph Vaughan Williams,classical,2022,2023‑08‑18,98,8,20,-24,11,4,373,93,6,42
25,"Dances in the Canebrakes (Arr. W.G. Still for Orchestra): No. 1, Nimble Feet",Florence Beatrice Price,african-american classical,2019,2023‑08‑18,88,8,39,-20,9,30,155,99,3,42
26,Il Tempo delle Cose,Alberto Giurioli,,2022,2023‑08‑18,127,16,23,-17,9,7,364,86,4,41
27,"3 Concert Études, S. 144: No. 3 in D-Flat Major, ""un sospiro""",Franz Liszt,classical,2004,2023‑08‑18,69,6,24,-25,19,3,341,99,4,41
28,"Tchaikovsky: Serenade for Strings in C, Op. 48 - 2. Walzer: Moderato (Tempo di valse)",Pyotr Ilyich Tchaikovsky,classical,2020,2023‑08‑18,101,22,24,-17,18,30,215,88,4,41
29,African Suite: V. Akinla: Allegro non troppo,Fela Sowande,american orchestra,2000,2023‑08‑18,130,1,51,-38,11,37,194,89,5,41
30,Un homme et une femme,Gautier Capuçon,classical cello,2023,2023‑08‑18,64,12,11,-23,11,13,181,94,4,40
31,"Les Patineurs, Waltz, Op. 183",Émile Waldteufel,french romanticism,1993,2023‑08‑18,99,15,36,-18,6,21,452,98,3,40
32,Les Beautés Du Diable,François Dompierre,canadian soundtrack,2003,2023‑08‑18,132,11,37,-23,10,55,196,94,4,40
33,The Waltzing Cat,Leroy Anderson,american modern classical,2004,2023‑08‑18,134,7,36,-22,6,25,167,98,4,40
34,Concerto Magna Carta: III. Intense and energetic,John Brunning,chinese classical performance,2022,2023‑08‑18,76,28,24,-14,10,30,401,95,3,39
35,"Oboe Concerto in C Major, K. 314: III. Rondo (Allegretto) - Cadenza: Randall Wolfgang",Wolfgang Amadeus Mozart,classical,2001,2023‑08‑18,118,12,54,-21,17,54,339,97,4,39
36,"Concerto for 2 Mandolins, Strings and Continuo in G Major, RV. 532: III. Allegro",Antonio Vivaldi,baroque,2012,2023‑08‑18,143,21,55,-21,11,77,232,75,4,39
37,"Concerto No. 4 in E-Flat Major, K.495: III. Rondo. Allegro Vivace",Wolfgang Amadeus Mozart,classical,2019,2023‑08‑18,122,13,42,-22,11,52,238,99,5,39
38,Julie-O,Mark Summer,classical guitar,2019,2023‑08‑18,80,14,45,-19,11,43,283,97,5,39
39,"The Birds, P. 154: V. The Cuckoo (Il cuccù)",Ottorino Respighi,classical,2011,2023‑08‑18,118,3,31,-24,28,10,257,96,5,38
40,Open Strings,Kaiser Quartett,modern string quartet,2023,2023‑08‑18,150,13,35,-16,10,20,197,93,3,38
41,"Antiche danze ed arie per liuto, Suite No. 1, P. 109: I. Balletto detto Il Conte Orlando",Ottorino Respighi,classical,2016,2023‑08‑18,56,10,41,-21,26,28,140,87,4,38
42,Harp Concerto in A major: 3. Rondeau: Allegretto,Carl Ditters von Dittersdorf,baroque,1997,2023‑08‑18,97,13,60,-20,9,37,237,99,3,38
43,"String Quintet in C Major, Op. 29: III. Scherzo (Allegro)",Ludwig van Beethoven,classical,2020,2023‑08‑18,157,9,40,-20,10,32,252,91,6,38
44,Serenade in D Major: II. Scherzo. Allegro vivace,Dame Ethel Smyth,british orchestra,1996,2023‑08‑18,148,6,28,-25,6,10,369,94,4,38
45,"An die Musik, D. 547 - Arr. for Arpeggione and Piano",Franz Schubert,classical,2005,2023‑08‑18,91,3,16,-26,9,8,126,99,4,38
46,"Violin Concerto in B-Flat Major, Op. 10 No. 1: I. Allegro",Jean-Marie Leclair,baroque,2020,2023‑08‑18,99,13,43,-22,11,46,299,92,4,38
47,"Serenade No. 2 in A Major, Op. 16: 2. Scherzo. Vivace",Johannes Brahms,classical,2010,2023‑08‑18,99,22,50,-19,15,56,163,99,3,37
48,"Lucio Silla, K. 135: Overture, Pt. 1. Andante",Wolfgang Amadeus Mozart,classical,2017,2023‑08‑18,151,1,22,-32,15,11,167,84,5,35
49,"Trumpet Concerto in E Flat, H.VIIe/1: 3. Allegro",Joseph Haydn,classical,2021,2023‑08‑18,139,20,53,-19,5,48,266,96,4,31
