,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
1,Everybody Wants To Rule The World,Tears For Fears,new romantic,1985,2023‑05‑02,112,80,65,-12,10,54,251,35,5,90
2,Take on Me,a-ha,new romantic,1985,2023‑05‑02,84,90,57,-8,9,88,225,2,5,88
3,Mr. Brightside,The Killers,alternative rock,2004,2023‑05‑02,148,91,35,-5,10,24,223,0,7,87
4,Dreams - 2004 Remaster,Fleetwood Mac,album rock,1977,2023‑05‑02,120,49,83,-10,13,79,258,6,3,87
5,Ain't No Mountain High Enough,Marvin Gaye,classic soul,1967,2023‑05‑02,130,60,66,-11,18,80,152,43,3,87
6,I'm Still Standing,Elton John,glam rock,1983,2023‑05‑02,177,90,50,-7,14,77,183,36,18,86
7,Africa,TOTO,album rock,1982,2023‑05‑02,93,37,67,-18,5,73,296,26,3,86
8,Running Up That Hill (A Deal With God),Kate Bush,art pop,1985,2023‑05‑02,108,55,63,-13,6,19,299,72,5,85
9,Here Comes The Sun - Remastered 2009,The Beatles,beatlesque,1969,2023‑05‑02,129,54,56,-10,18,39,186,3,3,85
10,"Hey, Soul Sister",Train,dance pop,2010,2023‑05‑02,97,89,67,-4,8,80,217,19,4,85
11,Shut Up and Dance,WALK THE MOON,dance rock,2014,2023‑05‑02,128,87,58,-4,26,62,199,1,6,85
12,Hey Ya!,Outkast,atl hip hop,2003,2023‑05‑02,80,97,73,-2,17,97,235,10,7,84
13,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,glam rock,1972,2023‑05‑02,137,53,60,-9,9,34,282,43,3,83
14,Everywhere - 2017 Remaster,Fleetwood Mac,album rock,1987,2023‑05‑02,115,49,73,-11,9,73,227,26,3,83
15,Brown Eyed Girl,Van Morrison,classic rock,1967,2023‑05‑02,151,58,49,-11,41,91,183,19,4,83
16,What's Up?,4 Non Blondes,new wave pop,1992,2023‑05‑02,134,56,56,-10,11,45,296,16,3,83
17,Best Day Of My Life,American Authors,modern rock,2014,2023‑05‑02,100,90,67,-2,6,54,194,6,3,82
18,Mr. Blue Sky,Electric Light Orchestra,album rock,1977,2023‑05‑02,178,34,39,-10,25,48,303,65,3,82
19,Smooth Operator - Single Version,Sade,british soul,1994,2023‑06‑01,119,58,73,-7,3,96,259,24,3,82
20,Put Your Records On,Corinne Bailey Rae,british soul,2006,2023‑05‑02,96,51,74,-8,13,54,215,17,4,82
21,I'm Yours,Jason Mraz,acoustic pop,2008,2023‑05‑02,151,44,70,-9,10,71,243,56,4,82
22,My Girl,The Temptations,memphis soul,1965,2023‑05‑02,105,42,57,-11,10,69,165,64,3,82
23,Tongue Tied,GROUPLOVE,indie rock,2011,2023‑05‑02,113,94,56,-6,16,37,218,1,4,81
24,Drops of Jupiter (Tell Me),Train,dance pop,2001,2023‑05‑02,79,64,48,-6,15,50,260,15,3,81
25,Landslide,Fleetwood Mac,album rock,1975,2023‑05‑02,159,16,41,-22,12,42,199,88,3,80
26,American Pie,Don McLean,classic rock,1971,2023‑05‑02,138,48,53,-12,8,49,517,70,6,80
27,Dancing in the Moonlight,Toploader,british alternative rock,2000,2023‑05‑02,119,86,63,-3,35,87,233,6,3,80
28,Sweet Caroline,Neil Diamond,adult standards,1969,2023‑05‑02,63,13,53,-16,24,58,204,61,3,80
29,Eyes Without A Face,Billy Idol,album rock,1983,2023‑06‑01,84,82,39,-6,28,65,299,2,5,80
