,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
1,N95,Kendrick Lamar,conscious hip hop,2022,1969‑12‑31,140,67,79,-6,12,41,196,38,11,82
2,"Living Life, In The Night",Cheriimoya,sad lo-fi,2018,1969‑12‑31,143,50,62,-10,12,30,123,82,5,80
3,Ambition For Cash,Key Glock,memphis hip hop,2021,1969‑12‑31,149,73,84,-5,14,58,143,1,19,77
4,YuNg BrAtZ,XXXTENTACION,emo rap,2017,1969‑12‑31,128,70,76,-6,11,49,102,2,26,75
5,TOXIC,YOUNGX777,,2023,1969‑12‑31,144,95,46,-7,19,27,84,2,32,71
6,vent,Baby Keem,hip hop,2021,1969‑12‑31,114,38,90,-6,12,26,137,1,9,71
7,Adonis Interlude (The Montage) (with J. Cole),Dreamville,hip hop,2023,1969‑12‑31,196,83,47,-5,9,41,96,14,44,70
8,HEATSEEKER,$werve,aggressive phonk,2022,1969‑12‑31,120,84,74,-5,6,59,105,10,8,68
9,LED,OmenXIII,cloud rap,2017,1969‑12‑31,200,66,66,-7,35,61,134,9,29,68
10,Gimme a Second,Saliva Grey,dark trap,2020,1969‑12‑31,152,72,66,-6,5,22,115,4,21,67
11,Fighter,The Score,modern alternative rock,2022,1969‑12‑31,160,84,52,-4,9,48,157,3,7,66
12,Royalty - Wiguez & Alltair Remix,Egzod,,2021,1969‑12‑31,172,90,29,-3,3,32,213,10,8,65
13,GHOSTKILLA,1nonly,aesthetic rap,2023,1969‑12‑31,77,86,63,-3,25,52,139,11,28,65
14,LIGHTS OUT,Kxllswxtch,dark trap,2021,1969‑12‑31,103,87,86,-6,13,57,85,42,30,64
15,Dynasties & Dystopia (from the series Arcane League of Legends),Denzel Curry,dark trap,2021,1969‑12‑31,154,83,70,-5,10,86,178,1,6,64
16,Advanced - Remix,callmestevieray,,2022,1969‑12‑31,146,65,70,-9,36,88,109,3,37,64
17,JOKER,Dax,canadian hip hop,2020,1969‑12‑31,151,70,76,-8,9,52,247,21,31,64
18,Euro$tep,West,,2022,1969‑12‑31,122,58,83,-5,25,28,147,17,17,64
19,Enemies,The Score,modern alternative rock,2022,1969‑12‑31,155,83,56,-6,13,30,162,1,3,63
20,Violin,Cookiee Kawaii,alternative r&b,2021,1969‑12‑31,140,88,83,-4,12,68,110,7,9,63
21,Cyberfreak,Khantrast,anime rap,2022,1969‑12‑31,120,43,70,-11,5,10,118,0,5,62
22,The Call,League of Legends,speedrun,2022,1969‑12‑31,133,54,20,-13,14,12,223,46,7,62
23,PUT YOU ON GAME,Russ,hawaiian hip hop,2023,1969‑12‑31,146,69,81,-2,13,60,159,27,30,62
24,Another Level,Oh The Larceny,bossbeat,2019,1969‑12‑31,146,78,66,-6,8,63,190,26,6,62
25,Satin Black,iamjakehill,sad lo-fi,2022,1969‑12‑31,151,68,77,-6,11,81,138,5,5,61
26,Hasty,conscience,lo-fi product,2020,1969‑12‑31,145,75,79,-8,32,46,136,7,23,61
27,THE REV3NGE,Joey Bada$$,conscious hip hop,2022,1969‑12‑31,131,85,67,-4,16,44,147,2,7,60
28,RNA,Katori Walker,cali rap,2022,1969‑12‑31,110,76,88,-5,72,76,105,53,33,60
29,Go!,NEFFEX,,2022,1969‑12‑31,90,88,79,-4,12,59,161,4,4,60
30,MAMBO,DIRTYXAN,aesthetic rap,2022,1969‑12‑31,76,51,82,-9,23,74,128,22,12,59
31,BLACK LAGOON,Kxllswxtch,dark trap,2021,1969‑12‑31,86,55,85,-6,15,18,90,11,32,59
32,Bunny Thot,Khantrast,anime rap,2021,1969‑12‑31,135,85,71,-5,16,57,91,32,19,59
33,Coward,iamjakehill,sad lo-fi,2021,1969‑12‑31,137,54,85,-11,12,23,85,3,4,57
34,D13.,Kill Dyll,,2022,1969‑12‑31,110,92,69,-6,28,26,151,1,44,57
35,Detonate,G2,brighton indie,2023,1969‑12‑31,93,81,61,-5,12,60,168,1,8,57
36,the motive,BTWRKS,,2022,1969‑12‑31,143,82,70,-4,26,65,123,8,22,56
37,HOW YOU DOIN?,DIRTYXAN,aesthetic rap,2021,1969‑12‑31,106,46,89,-8,16,63,104,12,12,56
38,Ready or Not,Hulvey,,2020,1969‑12‑31,143,66,83,-6,6,57,84,0,11,55
39,I'm A Monster,Lucha,arab trap,2020,1969‑12‑31,160,91,58,-5,12,59,171,10,36,55
40,Back From the Dead,iamjakehill,sad lo-fi,2022,1969‑12‑31,88,79,69,-7,30,61,139,5,15,55
41,Okay I'm Turnt - Remix,DJ Fronteo,sped up,2022,1969‑12‑31,117,55,97,-8,10,30,136,7,16,55
42,Carolina Reaper,Ryan Caraveo,indie pop rap,2022,1969‑12‑31,91,77,73,-4,30,54,151,6,6,54
43,Spirits Pt. 2,Party Favor,brostep,2022,1969‑12‑31,146,97,60,-3,11,25,122,11,33,53
44,ILLANOISE,NXTMIKE,christian hip hop,2020,1969‑12‑31,180,56,66,-6,10,67,104,30,44,53
45,Baby Stop,Altajmusic,,2022,1969‑12‑31,82,39,62,-15,51,88,39,84,42,53
46,Sarcophagus,do not resurrect,traprun,2021,1969‑12‑31,95,73,54,-11,10,17,125,0,6,52
47,Get Me Hype (Intro),Lebra Jolie,houston rap,2022,1969‑12‑31,130,66,93,-5,32,37,117,0,24,49
48,KNOCKED OUT,Canon,chicago rap,2021,1969‑12‑31,141,67,76,-7,17,28,118,8,11,49
49,Fall in Line,Yung Rare,,2019,1969‑12‑31,151,83,35,-5,51,48,171,2,33,49
50,Ballin,Logic,conscious hip hop,2021,1969‑12‑31,151,87,75,-6,10,69,229,5,22,48
