,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
1,Before You Go - Guitar Acoustic,Lewis Capaldi,pop,2021,2023‑09‑08,82,45,49,-5,10,47,219,72,3,2
2,Mended,Vera Blue,australian indie,2020,2023‑09‑08,78,54,40,-7,6,8,305,25,4,1
3,I Never Told You,Colbie Caillat,dance pop,2020,2023‑09‑08,144,63,50,-5,13,37,235,17,3,1
4,All We Do,Oh Wonder,electropop,2020,2023‑09‑08,127,28,57,-10,11,40,215,98,5,3
5,Miserable Man,David Kushner,gen z singer-songwriter,2022,2023‑09‑08,110,35,63,-10,30,32,233,93,3,7
6,Island,Maddy,,2020,2023‑09‑08,100,73,65,-4,14,38,188,39,5,2
7,Romantic Homicide,d4vd,bedroom pop,2022,2023‑09‑08,132,54,57,-11,32,22,133,45,3,32
8,Bridges,BROODS,auckland indie,2020,2023‑09‑08,170,63,39,-6,10,27,192,2,13,2
9,Just A Dream,Nelly,dance pop,2020,2023‑09‑08,90,83,43,-4,13,9,239,16,3,8
10,listen before i go,Billie Eilish,art pop,2023,2023‑09‑08,173,6,27,-23,39,8,243,94,5,20
11,Big Girls Don't Cry (Personal),Fergie,dance pop,2020,2023‑09‑08,113,65,71,-4,8,24,270,25,4,2
12,This Town,Niall Horan,pop,2023,2023‑09‑08,112,41,68,-8,12,20,233,70,3,14
13,Control,Zoe Wees,german pop,2023,2023‑09‑08,114,47,60,-5,15,7,231,64,3,16
14,Someone Else,Alexander Oscar,danish pop,2020,2023‑09‑08,81,60,59,-6,7,48,227,14,3,3
15,Hard to Sleep,Gracie Abrams,alt z,2023,2023‑09‑08,144,15,51,-15,9,38,255,97,4,13
16,Girls Like Us,Zoe Wees,german pop,2021,2023‑09‑08,100,65,53,-5,6,16,191,29,4,0
17,Ribs,Lorde,art pop,2023,2023‑09‑08,128,47,53,-9,11,4,259,53,7,13
18,Falling Up,Dean Lewis,australian pop,2021,2023‑09‑08,104,76,65,-4,10,48,207,65,5,2
19,Summertime Sadness,Lana Del Rey,art pop,2022,2023‑09‑08,112,67,56,-6,12,20,264,3,3,5
20,Arcade,Duncan Laurence,dutch pop,2021,2023‑09‑08,72,35,45,-11,14,24,185,82,4,1
21,What A Time,Julia Michaels,pop,2023,2023‑09‑08,133,47,52,-6,9,39,173,66,3,13
22,Someone New,Eskobar,swedish alternative rock,2020,2023‑09‑08,110,54,61,-6,9,52,210,19,3,20
23,IDK You Yet,Alexander 23,alt z,2021,2023‑09‑08,154,31,59,-12,12,20,185,88,4,1
24,Bruises,Lewis Capaldi,pop,2023,2023‑09‑08,111,32,75,-8,20,32,220,94,8,14
25,drivers license,Olivia Rodrigo,pop,2023,2023‑09‑08,144,44,59,-9,11,13,242,72,6,17
26,How Do I Say Goodbye,Dean Lewis,australian pop,2023,2023‑09‑08,82,64,40,-6,7,39,164,21,7,15
27,Breathe Me,Sia,australian dance,2020,2023‑09‑08,120,55,55,-10,11,21,273,2,3,10
28,willow,Taylor Swift,pop,2022,2023‑09‑08,81,58,39,-9,14,55,215,84,16,8
29,Flowers Need Rain - Acoustic,Preston Pablo,basshall,2022,2023‑09‑08,98,26,54,-10,9,33,226,82,3,6
30,Lost,Feels,,2020,2023‑09‑08,96,43,79,-6,15,58,173,77,5,1
31,It'll Be Okay,Shawn Mendes,canadian pop,2023,2023‑09‑08,78,26,38,-12,9,5,223,64,3,15
32,Run Away to Mars,TALK,singer-songwriter pop,2022,2023‑09‑08,119,38,55,-11,21,28,214,53,3,7
33,Video Games,Lana Del Rey,art pop,2023,2023‑09‑08,122,26,34,-10,9,17,282,81,3,22
34,Diamonds - Live At Abbey Road Studios,Sam Smith,pop,2021,2023‑09‑08,104,60,69,-7,7,49,215,56,6,0
35,Strong,Arkells,canadian rock,2021,2023‑09‑08,71,23,54,-10,11,15,200,80,4,2
36,traitor,Olivia Rodrigo,pop,2022,2023‑09‑08,101,34,38,-8,12,8,229,69,3,5
37,Writer In The Dark,Lorde,art pop,2023,2023‑09‑08,72,27,33,-8,30,28,217,73,4,13
38,Summertime Sadness,Lana Del Rey,art pop,2023,2023‑09‑08,112,67,56,-6,12,20,264,3,3,18
39,Bored,Billie Eilish,art pop,2021,2023‑09‑08,120,32,61,-13,8,11,181,90,5,1
40,Beautiful Scars,Maximillian,gen z singer-songwriter,2020,2023‑09‑08,145,46,70,-9,11,43,195,37,6,11
41,"I miss you, I’m sorry",Gracie Abrams,alt z,2023,2023‑09‑08,73,45,35,-6,13,16,168,73,12,15
42,Happier Than Ever,Billie Eilish,art pop,2021,2023‑09‑08,81,23,33,-9,13,30,299,77,3,3
43,Try,Colbie Caillat,dance pop,2020,2023‑09‑08,140,39,61,-9,11,51,225,82,3,4
44,More Than Life,Whitley,australian indie folk,2020,2023‑09‑08,85,44,41,-11,15,39,177,82,3,1
45,The Hardest Part - Acoustic,Olivia Dean,pop soul,2023,2023‑09‑08,130,20,51,-8,11,30,176,94,4,12
46,Half A Man,Dean Lewis,australian pop,2023,2023‑09‑08,71,20,41,-12,14,34,179,86,6,21
47,Heather,Conan Gray,bedroom pop,2021,2023‑09‑08,102,43,36,-7,32,27,198,59,3,1
48,Leave Me,Jada,danish pop,2020,2023‑09‑08,122,47,46,-8,12,48,208,29,5,2
49,happier,Olivia Rodrigo,pop,2023,2023‑09‑08,169,44,40,-10,8,34,176,77,13,16
50,Kill Em With Kindness - Acoustic,Selena Gomez,pop,2023,2023‑09‑08,190,21,34,-12,11,15,212,92,4,14
51,Lose You To Love Me,Selena Gomez,pop,2023,2023‑09‑08,103,34,52,-9,21,10,206,55,4,23
52,Scared To Live,The Weeknd,canadian contemporary r&b,2023,2023‑09‑08,87,50,49,-8,9,20,191,13,5,13
53,the breakup.,MOODY,,2020,2023‑09‑08,95,34,33,-14,9,11,271,64,8,2
54,I Hate This Part,The Pussycat Dolls,dance pop,2020,2023‑09‑08,112,63,76,-4,31,45,219,7,3,2
55,drown,Elliot,,2020,2023‑09‑08,82,28,42,-14,73,8,201,49,3,2
56,Hey There Delilah,Plain White T's,modern rock,2020,2023‑09‑08,104,29,66,-11,11,30,233,87,3,81
57,traitor,Olivia Rodrigo,pop,2021,2023‑09‑08,101,34,38,-8,12,8,229,69,3,17
58,Flowers,Lauren Spencer Smith,alt z,2023,2023‑09‑08,66,45,68,-10,9,34,157,87,61,14
59,Smile,Gregory Porter,contemporary vocal jazz,2020,2023‑09‑08,166,20,10,-15,18,7,258,85,3,1
60,You and I,d4vd,bedroom pop,2023,2023‑09‑08,90,94,47,-5,45,33,153,15,4,23
