,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
1,Cruel Summer,Taylor Swift,pop,2019,2023‑09‑02,170,70,55,-6,11,56,178,12,16,100
2,Seven (feat. Latto) (Explicit Ver.),Jung Kook,k-pop,2023,2023‑09‑02,125,83,80,-4,8,89,185,31,4,99
3,LALA,Myke Towers,reggaeton,2023,2023‑09‑02,92,74,71,-4,10,61,198,7,4,99
4,Paint The Town Red,Doja Cat,dance pop,2023,2023‑09‑02,100,54,87,-9,9,73,232,27,17,98
5,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,art pop,2023,2023‑09‑02,78,9,44,-18,10,14,222,96,3,98
6,vampire,Olivia Rodrigo,pop,2023,2023‑09‑02,138,53,51,-6,31,32,220,17,6,97
7,Dance The Night - From Barbie The Album,Dua Lipa,dance pop,2023,2023‑09‑02,110,85,67,-5,33,78,177,2,5,97
8,fukumean,Gunna,atl hip hop,2023,2023‑09‑02,130,62,85,-7,28,22,125,12,9,96
9,Daylight,David Kushner,gen z singer-songwriter,2023,2023‑09‑02,130,43,51,-9,9,32,213,83,3,96
10,WHERE SHE GOES,Bad Bunny,reggaeton,2023,2023‑09‑02,144,80,65,-4,11,23,232,14,6,96
11,Flowers,Miley Cyrus,pop,2023,2023‑09‑02,118,68,71,-4,3,65,200,6,7,95
12,La Bebe - Remix,Yng Lvcas,reggaeton,2023,2023‑09‑02,170,48,81,-6,8,56,234,21,33,95
13,Barbie World (with Aqua) [From Barbie The Album],Nicki Minaj,hip pop,2023,2023‑09‑02,144,58,77,-8,23,75,110,52,25,94
14,MELTDOWN (feat. Drake),Travis Scott,hip hop,2023,2023‑09‑02,112,77,56,-5,40,40,246,1,35,94
15,LADY GAGA,Peso Pluma,corridos tumbados,2023,2023‑09‑02,140,74,65,-7,42,87,213,22,4,94
16,Super Shy,NewJeans,k-pop,2023,2023‑09‑02,150,82,78,-6,15,52,155,18,7,94
17,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,rap,2022,2023‑09‑02,98,62,72,-6,8,17,222,42,5,93
18,bad idea right?,Olivia Rodrigo,pop,2023,2023‑09‑02,130,88,63,-3,6,80,185,0,9,93
19,I KNOW ?,Travis Scott,hip hop,2023,2023‑09‑02,118,62,93,-4,10,82,212,2,5,93
20,FE!N (feat. Playboi Carti),Travis Scott,hip hop,2023,2023‑09‑02,148,88,57,-3,14,20,192,3,6,93
21,un x100to,Grupo Frontera,musica chihuahuense,2023,2023‑09‑02,83,72,57,-4,27,56,195,23,5,93
22,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Weeknd,canadian contemporary r&b,2023,2023‑09‑02,99,68,86,-6,41,85,215,6,19,93
23,See You Again (feat. Kali Uchis),"Tyler, The Creator",hip hop,2017,2023‑09‑02,79,56,56,-9,11,62,180,37,10,93
24,Calm Down (with Selena Gomez),Rema,afrobeats,2022,2023‑09‑02,107,81,80,-5,11,80,239,38,4,92
25,Ella Baila Sola,Eslabon Armado,corrido,2023,2023‑09‑02,148,76,67,-5,8,83,166,48,3,92
26,TELEKINESIS (feat. SZA & Future),Travis Scott,hip hop,2023,2023‑09‑02,83,54,46,-5,17,22,354,57,3,92
27,TULUM,Peso Pluma,corridos tumbados,2023,2023‑09‑02,168,87,56,-4,11,63,209,39,5,92
28,SABOR FRESA,Fuerza Regida,corrido,2023,2023‑09‑02,130,86,79,-5,9,96,157,9,9,92
29,Baby Don't Hurt Me,David Guetta,big room,2023,2023‑09‑02,128,91,60,-3,12,23,140,0,3,92
30,Fast Car,Luke Combs,contemporary country,2023,2023‑09‑02,98,60,71,-6,12,67,265,19,3,91
31,Snooze,SZA,pop,2022,2023‑09‑02,143,55,56,-7,11,39,202,14,13,91
32,K-POP,Travis Scott,hip hop,2023,2023‑09‑02,121,62,81,-6,67,54,185,4,6,91
33,TQM,Fuerza Regida,corrido,2023,2023‑09‑02,125,85,79,-5,11,96,157,27,6,91
34,AMARGURA,KAROL G,reggaeton,2023,2023‑09‑02,107,70,92,-3,15,55,170,18,7,91
35,Rich Men North of Richmond,Oliver Anthony Music,,2023,2023‑09‑02,122,26,68,-12,30,53,187,75,6,90
36,QLONA,KAROL G,reggaeton,2023,2023‑09‑02,170,76,84,-7,9,42,173,53,34,90
37,I Can See You (Taylor’s Version) (From The Vault),Taylor Swift,pop,2023,2023‑09‑02,123,76,69,-5,6,82,273,6,3,90
38,MY EYES,Travis Scott,hip hop,2023,2023‑09‑02,119,62,46,-8,12,28,251,65,5,90
39,Chemical,Post Malone,dfw rap,2023,2023‑09‑02,170,90,50,-5,12,37,184,0,5,89
40,Speed Drive (From Barbie The Album),Charli XCX,art pop,2023,2023‑09‑02,174,88,65,-6,9,79,118,0,8,89
41,LAGUNAS,Peso Pluma,corridos tumbados,2023,2023‑09‑02,116,62,77,-11,15,79,231,33,3,89
42,Last Night,Morgan Wallen,contemporary country,2023,2023‑09‑02,204,68,49,-5,14,48,164,47,4,88
43,Kill Bill,SZA,pop,2022,2023‑09‑02,89,73,64,-6,16,43,154,5,4,88
44,MI EX TENÍA RAZÓN,KAROL G,reggaeton,2023,2023‑09‑02,160,73,63,-5,21,85,154,8,6,88
45,RUBICON,Peso Pluma,corridos tumbados,2023,2023‑09‑02,140,82,76,-7,33,92,238,14,4,88
46,TOPIA TWINS (feat. Rob49 & 21 Savage),Travis Scott,hip hop,2023,2023‑09‑02,160,57,72,-4,7,33,223,6,9,88
47,All My Life (feat. J. Cole),Lil Durk,chicago drill,2023,2023‑09‑02,143,44,83,-8,10,69,223,15,33,87
48,Dial Drunk (with Post Malone),Noah Kahan,pov: indie,2023,2023‑09‑02,112,61,67,-7,11,68,214,12,3,87
49,Search & Rescue,Drake,canadian hip hop,2023,2023‑09‑02,142,44,82,-8,33,54,272,6,7,87
50,Religiously,Bailey Zimmerman,contemporary country,2023,2023‑09‑02,141,67,57,-7,11,59,179,43,3,86
51,Thinkin’ Bout Me,Morgan Wallen,contemporary country,2023,2023‑09‑02,140,76,66,-6,12,43,177,49,3,86
52,Deli,Ice Spice,bronx drill,2023,2023‑09‑02,140,76,79,-6,13,27,127,12,20,86
53,Area Codes,Kaliii,rap,2023,2023‑09‑02,155,39,82,-11,9,51,139,2,49,85
54,Princess Diana (with Nicki Minaj),Ice Spice,bronx drill,2023,2023‑09‑02,148,68,90,-5,10,74,172,14,19,84
55,Dawns (feat. Maggie Rogers),Zach Bryan,classic oklahoma country,2023,2023‑09‑02,123,44,45,-8,19,29,291,87,5,84
56,Oh U Went (feat. Drake),Young Thug,atl hip hop,2023,2023‑09‑02,136,79,81,-6,8,47,185,5,24,83
57,Oklahoma Smokeshow,Zach Bryan,classic oklahoma country,2022,2023‑09‑02,123,57,54,-6,10,23,212,10,4,83
58,"Burn, Burn, Burn",Zach Bryan,classic oklahoma country,2022,2023‑09‑02,83,30,51,-11,11,13,269,90,8,83
59,Need A Favor,Jelly Roll,country rap,2022,2023‑09‑02,158,77,50,-4,8,56,197,1,3,82
60,Cupid,FIFTY FIFTY,k-pop girl group,2023,2023‑09‑02,120,66,77,-8,40,96,174,66,3,82
61,Jaded,Miley Cyrus,pop,2023,2023‑09‑02,91,59,50,-5,9,18,186,5,3,82
62,In Your Love,Tyler Childers,kentucky indie,2023,2023‑09‑02,127,41,53,-10,12,24,226,84,4,82
63,Stand By Me (feat. Morgan Wallen),Lil Durk,chicago drill,2023,2023‑09‑02,134,58,76,-8,16,61,218,6,3,82
64,White Horse,Chris Stapleton,contemporary country,2023,2023‑09‑02,145,77,35,-11,11,22,268,0,5,81
65,Try That In A Small Town,Jason Aldean,contemporary country,2023,2023‑09‑02,146,86,46,-4,11,33,180,5,5,80
66,Peaches & Eggplants (feat. 21 Savage),Young Nudy,pluggnb,2023,2023‑09‑02,146,54,91,-8,11,58,204,1,28,80
67,Johnny Dang (with Paul Wall & DRODi),That Mexican OT,texas latin rap,2023,2023‑09‑02,120,67,97,-5,13,75,192,42,15,80
68,Barely Holdin' On,Polo G,chicago rap,2023,2023‑09‑02,157,58,72,-6,26,54,174,10,15,80
69,Turn Yo Clic Up (feat. Future),Quavo,atl hip hop,2023,2023‑09‑02,125,56,87,-7,14,63,231,58,38,80
70,Heartbroken (feat. Jessie Murph & Polo G),Diplo,edm,2023,2023‑09‑02,147,62,65,-6,10,65,207,18,8,80
71,Favorite Song,Toosii,north carolina hip hop,2023,2023‑09‑02,116,37,82,-9,10,41,209,31,6,79
72,Next Thing You Know,Jordan Davis,contemporary country,2022,2023‑09‑02,79,60,56,-8,10,41,175,65,5,79
73,What It Is (Block Boy) (with Kodak Black),Doechii,alternative r&b,2023,2023‑09‑02,172,74,73,-6,12,73,223,11,17,79
74,Lose Control,Teddy Swims,,2023,2023‑09‑02,160,60,56,-4,10,24,211,20,3,79
