,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
1,Cruel Summer,Taylor Swift,pop,2019,2023‑08‑24,170,70,55,-6,11,56,178,12,16,100
2,Dance The Night - From Barbie The Album,Dua Lipa,dance pop,2023,2023‑08‑24,110,85,67,-5,33,78,177,2,5,97
3,Barbie World (with Aqua) [From Barbie The Album],Nicki Minaj,hip pop,2023,2023‑08‑24,144,58,77,-8,23,75,110,52,25,94
4,I'm Good (Blue),David Guetta,big room,2022,2023‑08‑24,128,97,56,-4,37,30,175,0,3,93
5,I Ain't Worried,OneRepublic,piano rock,2022,2023‑08‑24,140,80,70,-6,5,83,148,8,5,92
6,Baby Don't Hurt Me,David Guetta,big room,2023,2023‑08‑24,128,91,60,-3,12,23,140,0,3,92
7,Rush,Troye Sivan,australian pop,2023,2023‑08‑24,126,84,74,-8,11,35,156,0,6,90
8,Watermelon Sugar,Harry Styles,pop,2019,2023‑08‑24,95,82,55,-4,34,56,174,12,5,90
9,Chemical,Post Malone,dfw rap,2023,2023‑08‑24,170,90,50,-5,12,37,184,0,5,89
10,Speed Drive (From Barbie The Album),Charli XCX,art pop,2023,2023‑08‑24,174,88,65,-6,9,79,118,0,8,89
11,Shivers,Ed Sheeran,pop,2021,2023‑08‑24,141,86,79,-3,4,82,208,28,9,87
12,Made You Look,Meghan Trainor,hip pop,2022,2023‑08‑24,145,53,84,-4,8,88,134,35,7,86
13,If We Ever Broke Up,Mae Stephens,singer-songwriter pop,2023,2023‑08‑24,116,73,90,-4,9,96,143,62,4,85
14,Players,Coi Leray,new jersey underground rap,2022,2023‑08‑24,105,52,95,-6,5,62,140,3,16,84
15,THATS WHAT I WANT,Lil Nas X,lgbtq+ hip hop,2021,2023‑08‑24,88,85,74,-5,5,55,144,1,22,84
16,Rock My Body,R3HAB,dutch house,2023,2023‑08‑24,124,82,66,-4,52,47,137,20,13,84
17,Numb,Marshmello,brostep,2022,2023‑08‑24,120,77,91,-5,10,63,156,12,5,82
18,Sunshine,OneRepublic,piano rock,2021,2023‑08‑24,140,88,70,-5,28,77,164,14,3,82
19,Budapest,George Ezra,folk-pop,2014,2023‑08‑24,128,46,72,-8,11,39,201,8,3,82
20,Best Day Of My Life,American Authors,modern rock,2014,2023‑08‑24,100,90,67,-2,6,54,194,6,3,82
21,Whistle (feat. Calum Scott),Jax Jones,dance pop,2023,2023‑08‑24,124,88,70,-5,6,62,182,18,4,82
22,Padam Padam,Kylie Minogue,australian dance,2023,2023‑08‑24,128,62,75,-8,10,72,166,20,24,82
23,Music For a Sushi Restaurant,Harry Styles,pop,2022,2023‑08‑24,107,72,72,-5,11,36,194,26,4,81
24,Castle on the Hill,Ed Sheeran,pop,2017,2023‑08‑24,135,83,46,-5,14,47,261,2,10,81
25,Green Green Grass,George Ezra,folk-pop,2022,2023‑08‑24,113,74,69,-4,13,80,168,7,6,81
26,Crazy What Love Can Do,David Guetta,big room,2022,2023‑08‑24,123,71,60,-4,16,46,170,3,4,81
27,MONTERO (Call Me By Your Name),Lil Nas X,lgbtq+ hip hop,2021,2023‑08‑24,179,50,59,-7,41,71,138,29,22,81
28,Love Lost,Mac Miller,hip hop,2022,2023‑08‑24,110,81,74,-4,19,58,163,53,15,80
29,Heaven,Niall Horan,pop,2023,2023‑08‑24,92,76,57,-3,33,72,186,5,3,80
30,About Damn Time,Lizzo,escape room,2022,2023‑08‑24,109,74,84,-6,34,72,192,10,7,80
31,Where Did You Go? (feat. MNEK),Jax Jones,dance pop,2022,2023‑08‑24,127,78,76,-5,29,50,178,18,3,80
32,Queen of Kings,Alessandra,,2023,2023‑08‑24,126,91,56,-4,33,17,148,7,9,79
33,Hold Me Closer,Elton John,glam rock,2022,2023‑08‑24,126,75,67,-5,20,49,202,7,9,79
34,Better Days (NEIKED x Mae Muller x Polo G),NEIKED,scandipop,2021,2023‑08‑24,110,67,72,-5,9,70,161,0,3,78
35,Remember,Becky Hill,pop dance,2021,2023‑08‑24,124,86,61,-3,9,35,161,4,4,78
36,Dancing In The Moonlight (feat. NEIMY),Jubël,swedish pop,2018,2023‑08‑24,120,62,66,-6,19,19,164,27,6,78
37,Waffle House,Jonas Brothers,boy band,2023,2023‑08‑24,126,76,73,-4,19,86,145,3,4,78
38,2 Be Loved (Am I Ready),Lizzo,escape room,2022,2023‑08‑24,156,77,72,-4,8,92,187,9,11,77
39,Love Grows (Where My Rosemary Goes),Edison Lighthouse,,1970,2023‑08‑24,109,82,57,-5,9,75,175,40,3,77
40,I'm Not Here To Make Friends,Sam Smith,pop,2023,2023‑08‑24,115,90,70,-4,41,84,230,17,6,77
41,AOK,Tai Verdes,modern indie pop,2021,2023‑08‑24,82,63,73,-7,18,86,174,13,8,76
42,Put Your Records On,Ritt Momney,bedroom pop,2020,2023‑08‑24,91,49,40,-11,11,15,210,6,5,76
43,3 Nights,Dominic Fike,alternative pop rock,2018,2023‑08‑24,152,52,82,-7,10,88,178,22,9,76
44,Fancy Like,Walker Hayes,contemporary country,2022,2023‑08‑24,80,77,65,-6,32,86,162,11,6,76
45,My Stupid Heart,Walk off the Earth,canadian rock,2023,2023‑08‑24,115,68,75,-8,16,61,160,7,4,75
46,Hot In It,Tiësto,big room,2022,2023‑08‑24,123,84,75,-5,4,72,130,0,18,75
47,Magic In The Hamptons (feat. Lil Yachty),Social House,atl hip hop,2018,2023‑08‑24,96,48,77,-5,9,80,165,66,4,75
48,Alone (with Nicki Minaj),Kim Petras,alt z,2023,2023‑08‑24,137,51,68,-7,13,17,185,7,4,75
49,Run,OneRepublic,piano rock,2021,2023‑08‑24,117,72,68,-8,15,67,169,33,4,74
50,Never Gonna Not Dance Again,P!nk,dance pop,2022,2023‑08‑24,114,80,67,-4,16,77,226,3,9,74
51,Sweetest Pie,Megan Thee Stallion,houston rap,2022,2023‑08‑24,124,63,81,-7,10,68,201,17,22,74
52,Lottery (feat. LU KALA),Latto,trap queen,2023,2023‑08‑24,114,87,79,-3,7,93,187,2,9,74
53,Anyone For You (Tiger Lily),George Ezra,folk-pop,2022,2023‑08‑24,103,81,66,-3,19,77,188,29,4,74
54,Woke Up in Love,Kygo,edm,2022,2023‑08‑24,106,59,64,-6,9,19,217,23,4,73
55,Cover Me In Sunshine,P!nk,dance pop,2021,2023‑08‑24,160,59,48,-7,8,31,141,6,14,73
56,Dancing Feet (feat. DNCE),Kygo,edm,2022,2023‑08‑24,106,80,75,-5,39,52,215,29,12,73
57,Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,Nathan Evans,pop dance,2021,2023‑08‑24,120,89,72,-3,7,44,117,4,5,73
58,4runner,Brenn!,singer-songwriter pop,2023,2023‑08‑24,128,51,59,-11,42,48,265,32,10,72
59,Betty (Get Money),Yung Gravy,meme rap,2022,2023‑08‑24,102,77,72,-7,37,58,146,1,8,72
60,Wonder,Shawn Mendes,canadian pop,2020,2023‑08‑24,140,64,33,-5,15,13,173,13,6,72
61,Eyes On You,Nicky Youre,singer-songwriter pop,2023,2023‑08‑24,132,79,73,-4,27,73,177,12,4,72
62,Mariposa,Peach Tree Rascals,pov: indie,2019,2023‑08‑24,112,53,68,-6,36,42,210,62,3,72
63,2step,Ed Sheeran,pop,2021,2023‑08‑24,95,66,76,-6,12,63,154,17,6,72
64,people pleaser,Cat Burns,uk pop,2022,2023‑08‑24,94,76,69,-3,8,70,147,16,5,71
65,Love You For A Long Time,Maggie Rogers,indie pop,2019,2023‑08‑24,113,67,71,-6,11,82,223,16,3,71
66,Lil Bit,Nelly,dance pop,2020,2023‑08‑24,120,69,71,-7,38,41,196,3,4,70
67,Rescue Me,OneRepublic,piano rock,2019,2023‑08‑24,121,61,76,-8,69,64,159,16,4,70
68,Special (feat. SZA),Lizzo,escape room,2023,2023‑08‑24,83,72,46,-5,68,30,175,2,7,70
69,Missing Piece,Vance Joy,folk-pop,2021,2023‑08‑24,102,88,63,-4,11,72,217,2,5,69
70,Down Under (feat. Colin Hay),Luude,aussietronica,2021,2023‑08‑24,172,86,31,-4,28,4,159,1,17,69
71,Fly Away,Tones And I,australian pop,2020,2023‑08‑24,125,51,81,-6,22,50,178,22,7,68
72,Satellite,Khalid,pop,2022,2023‑08‑24,124,73,74,-7,9,73,187,3,3,67
73,Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur,pop,2018,2023‑08‑24,126,74,67,-5,47,57,218,24,4,67
74,Drown (feat. Clinton Kane),Martin Garrix,dutch edm,2020,2023‑08‑24,120,74,57,-5,18,36,174,21,6,67
75,Shut Me Up,Nicky Youre,singer-songwriter pop,2023,2023‑08‑24,186,72,62,-4,3,58,141,0,5,67
76,C'est La Vie (with bbno$ & Rich Brian),Yung Gravy,meme rap,2022,2023‑08‑24,142,78,89,-4,7,77,160,6,9,66
77,Way Less Sad,AJR,pov: indie,2021,2023‑08‑24,140,55,70,-8,10,40,206,1,5,66
78,The Drum,Alan Walker,electro house,2022,2023‑08‑24,128,76,78,-5,9,33,189,16,5,66
79,I Feel Good,Pink Sweat$,bedroom soul,2021,2023‑08‑24,106,75,80,-5,5,63,136,2,6,66
80,Remind Me,Tom Grennan,uk pop,2022,2023‑08‑24,132,83,60,-4,20,62,211,6,4,66
81,Somebody To You,The Vamps,boy band,2014,2023‑08‑24,87,85,56,-5,33,76,183,9,5,66
82,Upside Down,JVKE,modern indie pop,2020,2023‑08‑24,120,50,88,-7,44,48,115,5,6,65
83,last day on earth,Tai Verdes,modern indie pop,2022,2023‑08‑24,82,55,49,-6,22,36,173,41,20,64
84,Dandelion,Galantis,edm,2021,2023‑08‑24,118,66,80,-5,14,63,140,16,16,63
85,Destination,Crash Adams,,2022,2023‑08‑24,124,83,73,-4,7,92,164,2,3,63
86,90s Kids,Jax,gen z singer-songwriter,2021,2023‑08‑24,152,66,71,-6,35,73,164,8,12,62
87,sun keeps on shining,almost monday,modern indie pop,2022,2023‑08‑24,88,77,63,-6,47,78,167,14,6,62
88,I'm So Happy (with BENEE),Jeremy Zucker,alt z,2022,2023‑08‑24,133,43,85,-7,20,68,173,64,12,61
89,Wave of You,Surfaces,bedroom soul,2021,2023‑08‑24,91,66,70,-6,27,35,214,6,5,61
90,Cloudy Day,Tones And I,australian pop,2021,2023‑08‑24,116,78,71,-6,2,37,185,6,4,61
91,The Good Part,AJR,pov: indie,2017,2023‑08‑24,93,48,49,-4,38,55,227,9,3,60
92,Fake A Smile,Alan Walker,electro house,2021,2023‑08‑24,150,55,45,-5,17,25,168,21,3,60
93,Holiday,KSI,uk hip hop,2021,2023‑08‑24,87,68,36,-7,10,35,194,15,9,60
94,SAD B!TCH,Anne-Marie,pop,2023,2023‑08‑24,194,69,54,-3,13,62,133,30,16,60
95,You (with Marshmello & Vance Joy),benny blanco,pop,2021,2023‑08‑24,103,56,67,-6,12,31,170,5,5,59
96,FREEDOM,Jon Batiste,new orleans jazz,2021,2023‑08‑24,115,65,87,-4,21,83,178,3,4,59
97,Sheesh!,Surfaces,bedroom soul,2021,2023‑08‑24,150,83,74,-4,9,80,149,16,6,58
98,pogo,bbno$,canadian hip hop,2022,2023‑08‑24,125,97,73,-3,33,69,207,4,8,55
99,3 outfits,Tai Verdes,modern indie pop,2022,2023‑08‑24,176,88,65,-4,35,65,211,14,15,49
100,Common (with Big Sean),Quinn XCII,indie pop rap,2022,2023‑08‑24,94,56,79,-6,28,69,159,19,4,48
