,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
1,Bones,Imagine Dragons,modern rock,2022,1969‑12‑31,114,75,77,-4,7,59,165,2,5,86
2,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,modern rock,2022,1969‑12‑31,77,78,73,-4,43,56,173,24,27,83
3,Moth To A Flame (with The Weeknd),Swedish House Mafia,edm,2022,1969‑12‑31,120,66,55,-7,11,11,234,0,4,83
4,Natural,Imagine Dragons,modern rock,2018,1969‑12‑31,100,61,70,-6,8,22,189,22,4,83
5,Unholy (feat. Kim Petras),Sam Smith,pop,2023,1969‑12‑31,131,46,71,-7,30,21,157,1,8,82
6,STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,lgbtq+ hip hop,2022,1969‑12‑31,142,72,64,-5,9,31,211,15,5,81
7,Acapulco,Jason Derulo,dance pop,2021,1969‑12‑31,122,79,77,-4,16,51,140,5,5,79
8,Red Ruby Da Sleeze,Nicki Minaj,hip pop,2023,1969‑12‑31,98,73,70,-6,11,29,214,12,26,78
9,Motley Crew,Post Malone,dfw rap,2021,1969‑12‑31,130,63,80,-4,10,29,184,9,8,76
10,Lights - Sped Up Version,Ellie Goulding,indietronica,2022,1969‑12‑31,133,84,65,-6,10,80,190,5,5,74
11,Hero,Martin Garrix,dutch edm,2022,1969‑12‑31,168,70,53,-5,25,25,161,32,7,72
12,Frozen,Madonna,dance pop,2021,1969‑12‑31,110,63,71,-10,18,38,120,27,4,71
13,High,The Chainsmokers,electropop,2022,1969‑12‑31,135,79,60,-6,14,53,175,5,3,70
14,Run It (feat. Rick Ross & Rich Brian),DJ Snake,edm,2021,1969‑12‑31,104,73,69,-8,7,23,163,2,4,68
15,Saturday/Sunday,Jason Derulo,dance pop,2023,1969‑12‑31,124,78,70,-6,8,85,167,14,4,68
16,Self Destruction Mode,The Chainsmokers,electropop,2023,1969‑12‑31,160,63,62,-6,21,55,148,16,7,68
17,Shut Up,Alan Walker,electro house,2022,1969‑12‑31,176,61,38,-4,31,45,133,13,8,66
18,One Of Us,Ava Max,pop,2023,1969‑12‑31,145,84,63,-4,24,55,178,1,4,66
19,Ghost,Ava Max,pop,2023,1969‑12‑31,120,93,72,-4,5,62,182,1,4,65
20,Shockwave,Marshmello,brostep,2021,1969‑12‑31,164,88,58,-3,11,41,181,2,7,65
21,You Only Love Me,Rita Ora,dance pop,2023,1969‑12‑31,110,74,66,-5,32,38,149,25,5,65
22,WOW (feat. Sabrina Carpenter) - Remix,Zara Larsson,pop,2020,1969‑12‑31,77,74,70,-4,9,31,180,47,9,63
23,Tennis Court - Flume Remix,Lorde,art pop,2014,1969‑12‑31,93,58,54,-7,38,26,364,39,9,63
24,Gimme (feat. Koffee & Jessie Reyez),Sam Smith,pop,2023,1969‑12‑31,105,45,68,-8,43,75,170,10,6,63
25,Cold As Ice,Ava Max,pop,2023,1969‑12‑31,118,77,46,-4,18,30,144,10,6,62
26,Numb - Alok Remix,Marshmello,brostep,2022,1969‑12‑31,127,97,64,-5,36,41,173,1,4,62
27,Anti-Hero - ILLENIUM Remix,Taylor Swift,pop,2022,1969‑12‑31,97,72,60,-5,29,39,268,17,4,61
28,Run - Collins Remix,OneRepublic,piano rock,2021,1969‑12‑31,117,75,65,-7,14,84,170,23,3,61
29,Sunshine - MOTi Remix,OneRepublic,piano rock,2021,1969‑12‑31,126,77,73,-6,16,54,189,8,4,61
30,Satisfaction,David Guetta,big room,2022,1969‑12‑31,126,94,75,-6,8,31,156,7,20,60
31,I'm Good (Blue) - Oliver Heldens Remix,David Guetta,big room,2022,1969‑12‑31,128,90,64,-5,49,50,186,1,4,60
32,Bones - twocolors Remix,Imagine Dragons,modern rock,2022,1969‑12‑31,124,76,68,-7,53,48,256,2,6,57
33,"Genius (feat. Sia, Diplo, and Labrinth) - Lil Wayne Remix",Sia,australian dance,2019,1969‑12‑31,159,76,66,-3,5,71,163,1,19,57
