song title,artist,energy,song and artist
Chop Suey!,System Of A Down,93,"Chop Suey! by, System Of A Down"
Just Pretend,Bad Omens,83,"Just Pretend by, Bad Omens"
Monster,Skillet,96,"Monster by, Skillet"
Popular Monster,Falling In Reverse,90,"Popular Monster by, Falling In Reverse"
Watch The World Burn,Falling In Reverse,78,"Watch The World Burn by, Falling In Reverse"
Bodies,Drowning Pool,93,"Bodies by, Drowning Pool"
THE DEATH OF PEACE OF MIND,Bad Omens,71,"THE DEATH OF PEACE OF MIND by, Bad Omens"
Voices In My Head,Falling In Reverse,90,"Voices In My Head by, Falling In Reverse"
Animal I Have Become,Three Days Grace,85,"Animal I Have Become by, Three Days Grace"
The Summoning,Sleep Token,70,"The Summoning by, Sleep Token"
FEEL NOTHING,The Plot In You,83,"FEEL NOTHING by, The Plot In You"
Lost,Linkin Park,80,"Lost by, Linkin Park"
I Am Machine,Three Days Grace,97,"I Am Machine by, Three Days Grace"
Time of Dying,Three Days Grace,87,"Time of Dying by, Three Days Grace"
DiE4u,Bring Me The Horizon,92,"DiE4u by, Bring Me The Horizon"
Parasite Eve,Bring Me The Horizon,80,"Parasite Eve by, Bring Me The Horizon"
There’s Fear In Letting Go,I Prevail,87,"There’s Fear In Letting Go by, I Prevail"
Self-Destruction,I Prevail,98,"Self-Destruction by, I Prevail"
Bad Man - Kordhell Remix,Disturbed,96,"Bad Man - Kordhell Remix by, Disturbed"
Misery,Memphis May Fire,90,"Misery by, Memphis May Fire"
You Asked for It,Emmure,78,"You Asked for It by, Emmure"
Waiting On The Sky To Change,STARSET,93,"Waiting On The Sky To Change by, STARSET"
Do Or Die,Magnolia Park,94,"Do Or Die by, Magnolia Park"
Judgment Day,Five Finger Death Punch,93,"Judgment Day by, Five Finger Death Punch"
War,Story Of The Year,82,"War by, Story Of The Year"
Manic,Wage War,87,"Manic by, Wage War"
Enemies,The Score,83,"Enemies by, The Score"
Better Days,Currents,98,"Better Days by, Currents"
Smells Like Teen Spirit,Witchz,50,"Smells Like Teen Spirit by, Witchz"
Never There,Currents,56,"Never There by, Currents"
I Am The Weapon,Three Days Grace,83,"I Am The Weapon by, Three Days Grace"
All of This Is Fleeting,Polaris,95,"All of This Is Fleeting by, Polaris"
Dad Vibes,Limp Bizkit,89,"Dad Vibes by, Limp Bizkit"
deep fake,Architects,86,"deep fake by, Architects"
Hunted,Egypt Central,94,"Hunted by, Egypt Central"
Survivor,All Good Things,90,"Survivor by, All Good Things"
Can You Feel My Heart - Remix,Bring Me The Horizon,88,"Can You Feel My Heart - Remix by, Bring Me The Horizon"
The Optimist,10 Years,91,"The Optimist by, 10 Years"
FWYTYK,I Prevail,87,"FWYTYK by, I Prevail"
Detonate,G2,81,"Detonate by, G2"
NOT JUST BREATHING,The Plot In You,83,"NOT JUST BREATHING by, The Plot In You"
Remember Me,Currents,92,"Remember Me by, Currents"
Visceral,I Prevail,95,"Visceral by, I Prevail"
Pick Up Behind You,Five Finger Death Punch,98,"Pick Up Behind You by, Five Finger Death Punch"
FEEL NOTHING - RESET,The Plot In You,89,"FEEL NOTHING - RESET by, The Plot In You"
TIRED OF WINNING,NOTHING MORE,95,"TIRED OF WINNING by, NOTHING MORE"
Cut The Line (feat. Beartooth),Papa Roach,94,"Cut The Line (feat. Beartooth) by, Papa Roach"
Guiding Light,Caskets,89,"Guiding Light by, Caskets"
HEAVYWEIGHT,Ryan Oakes,92,"HEAVYWEIGHT by, Ryan Oakes"
RISE,YMIR,73,"RISE by, YMIR"
Giant Steps - 2020 Remaster,John Coltrane,42,"Giant Steps - 2020 Remaster by, John Coltrane"
This I Dig Of You - Remastered 1999/Rudy Van Gelder Edition,Hank Mobley,67,"This I Dig Of You - Remastered 1999/Rudy Van Gelder Edition by, Hank Mobley"
Move,Miles Davis,41,"Move by, Miles Davis"
Cherokee,Clifford Brown,66,"Cherokee by, Clifford Brown"
Boogie Stop Shuffle,Charles Mingus,54,"Boogie Stop Shuffle by, Charles Mingus"
Yes Or No - Rudy Van Gelder 24 Bit Mastering/1999 Digital Remaster,Wayne Shorter,68,"Yes Or No - Rudy Van Gelder 24 Bit Mastering/1999 Digital Remaster by, Wayne Shorter"
Leap Frog - Take 11 / Take 6 / Master Take,Dizzy Gillespie,73,"Leap Frog - Take 11 / Take 6 / Master Take by, Dizzy Gillespie"
Bloomdido - Master Take,Charlie Parker,60,"Bloomdido - Master Take by, Charlie Parker"
Daahoud,Clifford Brown,64,"Daahoud by, Clifford Brown"
Without a Song - Remastered,Sonny Rollins,28,"Without a Song - Remastered by, Sonny Rollins"
Funkallero,Stan Getz,56,"Funkallero by, Stan Getz"
With A Song In My Heart - Remastered 1998,Sonny Clark,49,"With A Song In My Heart - Remastered 1998 by, Sonny Clark"
Matrix,Chick Corea,63,"Matrix by, Chick Corea"
Seven Steps to Heaven,Miles Davis,44,"Seven Steps to Heaven by, Miles Davis"
Lazy Bird - Remastered 2003/Rudy Van Gelder Edition,John Coltrane,54,"Lazy Bird - Remastered 2003/Rudy Van Gelder Edition by, John Coltrane"
Strode Rode - Rudy Van Gelder Remaster,Sonny Rollins,54,"Strode Rode - Rudy Van Gelder Remaster by, Sonny Rollins"
Au Privave,Sonny Stitt,51,"Au Privave by, Sonny Stitt"
I Could Write A Book,Miles Davis Quintet,60,"I Could Write A Book by, Miles Davis Quintet"
Nica's Dream - Remastered 2005,Horace Silver,56,"Nica's Dream - Remastered 2005 by, Horace Silver"
Minors Holiday - Rudy Van Gelder Edition/2007 Digital Remaster,Kenny Dorham,81,"Minors Holiday - Rudy Van Gelder Edition/2007 Digital Remaster by, Kenny Dorham"
Locomotion - Remastered 2003/Rudy Van Gelder Edition,John Coltrane,70,"Locomotion - Remastered 2003/Rudy Van Gelder Edition by, John Coltrane"
Mr. P.C. - 2020 Remaster,John Coltrane,49,"Mr. P.C. - 2020 Remaster by, John Coltrane"
Scrapple From The Apple - Rudy Van Gelder Edition / 2003 Remaster,Dexter Gordon,60,"Scrapple From The Apple - Rudy Van Gelder Edition / 2003 Remaster by, Dexter Gordon"
Ande - Remastered 2007 / Rudy Van Gelder Edition,Louis Smith,73,"Ande - Remastered 2007 / Rudy Van Gelder Edition by, Louis Smith"
Ornithology,Charlie Parker,41,"Ornithology by, Charlie Parker"
Minority,Bill Evans,42,"Minority by, Bill Evans"
Now's the Time - Remastered Version,Sonny Stitt,35,"Now's the Time - Remastered Version by, Sonny Stitt"
Salt Peanuts,Dizzy Gillespie Quintet,61,"Salt Peanuts by, Dizzy Gillespie Quintet"
Airegin,Wes Montgomery,41,"Airegin by, Wes Montgomery"
Limehouse Blues,The Cannonball Adderley Quintet,51,"Limehouse Blues by, The Cannonball Adderley Quintet"
The Blues Walk,Clifford Brown,71,"The Blues Walk by, Clifford Brown"
One Finger Snap - Remastered,Herbie Hancock,80,"One Finger Snap - Remastered by, Herbie Hancock"
Alamode,Art Blakey & The Jazz Messengers,43,"Alamode by, Art Blakey & The Jazz Messengers"
52nd Street Theme - Remastered 1998/Rudy Van Gelder Edition,Bud Powell,59,"52nd Street Theme - Remastered 1998/Rudy Van Gelder Edition by, Bud Powell"
Impressions - Live At The Half Note /1965,Wes Montgomery,63,"Impressions - Live At The Half Note /1965 by, Wes Montgomery"
Donna Lee,Lee Konitz,42,"Donna Lee by, Lee Konitz"
Nutville,Horace Silver Quintet,62,"Nutville by, Horace Silver Quintet"
Arietis - Remastered 2003/Rudy Van Gelder Edition,Freddie Hubbard,48,"Arietis - Remastered 2003/Rudy Van Gelder Edition by, Freddie Hubbard"
Wee (Allen's Alley),Stan Getz,37,"Wee (Allen's Alley) by, Stan Getz"
Super Jet,Tadd Dameron,64,"Super Jet by, Tadd Dameron"
Hora Decubitus,Charles Mingus,73,"Hora Decubitus by, Charles Mingus"
The Natives Are Restless Tonight - Rudy Van Gelder Edition/1999 Digital Remaster,Horace Silver,80,"The Natives Are Restless Tonight - Rudy Van Gelder Edition/1999 Digital Remaster by, Horace Silver"
Easy To Love,Cannonball Adderley Sextet,58,"Easy To Love by, Cannonball Adderley Sextet"
Toy,Cannonball Adderley,42,"Toy by, Cannonball Adderley"
A Night In Tunisia,McCoy Tyner,50,"A Night In Tunisia by, McCoy Tyner"
Open Sesame - Remastered 2002/Rudy Van Gelder Edition,Freddie Hubbard,67,"Open Sesame - Remastered 2002/Rudy Van Gelder Edition by, Freddie Hubbard"
Steps-What Was - Digitally Remastered,Chick Corea,63,"Steps-What Was - Digitally Remastered by, Chick Corea"
The Bridge - Remastered,Sonny Rollins,51,"The Bridge - Remastered by, Sonny Rollins"
Grand Central,The Cannonball Adderley Quintet,42,"Grand Central by, The Cannonball Adderley Quintet"
Humph - Rudy Van Gelder 24-Bit Mastering / 1998 Digital Remaster,Thelonious Monk,66,"Humph - Rudy Van Gelder 24-Bit Mastering / 1998 Digital Remaster by, Thelonious Monk"
Blues And The Abstract Truth,Oliver Nelson,61,"Blues And The Abstract Truth by, Oliver Nelson"
Vendetta,Cory Weeds,65,"Vendetta by, Cory Weeds"
The Eternal Triangle,Dizzy Gillespie,67,"The Eternal Triangle by, Dizzy Gillespie"
Four By Five,McCoy Tyner,72,"Four By Five by, McCoy Tyner"
Just One Of Those Things,Lee Morgan,46,"Just One Of Those Things by, Lee Morgan"
The Way You Look Tonight - Remastered 2009,Johnny Griffin,86,"The Way You Look Tonight - Remastered 2009 by, Johnny Griffin"
Be-Bop - Remastered 2001/Rudy Van Gelder Edition,Sonny Clark Trio,53,"Be-Bop - Remastered 2001/Rudy Van Gelder Edition by, Sonny Clark Trio"
Our Man Higgins,Lee Morgan,64,"Our Man Higgins by, Lee Morgan"
A Shade Of Jade - Rudy Van Gelder Edition/2003 Digital Remaster/24 Bit Mastering,Joe Henderson,65,"A Shade Of Jade - Rudy Van Gelder Edition/2003 Digital Remaster/24 Bit Mastering by, Joe Henderson"
Roll Call - Rudy Van Gelder Edition,Hank Mobley,68,"Roll Call - Rudy Van Gelder Edition by, Hank Mobley"
Cranky Spanky,Art Blakey & The Jazz Messengers,57,"Cranky Spanky by, Art Blakey & The Jazz Messengers"
Moose The Mooche,Art Blakey,72,"Moose The Mooche by, Art Blakey"
In 'N Out - Remastered 2003 / Rudy Van Gelder Edition,Joe Henderson,65,"In 'N Out - Remastered 2003 / Rudy Van Gelder Edition by, Joe Henderson"
The Surrey With The Fringe On Top - Remastered 2003/Rudy Van Gelder Edition,McCoy Tyner,61,"The Surrey With The Fringe On Top - Remastered 2003/Rudy Van Gelder Edition by, McCoy Tyner"
Philly Mignon - Rudy Van Gelder 24-Bit Remastering/2006,Freddie Hubbard,69,"Philly Mignon - Rudy Van Gelder 24-Bit Remastering/2006 by, Freddie Hubbard"
So Far So Good,Sun Of They,7,"So Far So Good by, Sun Of They"
Apricity,Imala Zir,24,"Apricity by, Imala Zir"
Solatium,Imber Sun,11,"Solatium by, Imber Sun"
efflorescence,Far & Beyond,21,"efflorescence by, Far & Beyond"
Gather My Thoughts,Josef Briem,5,"Gather My Thoughts by, Josef Briem"
Infinite Sustain,Amaranth Cove,21,"Infinite Sustain by, Amaranth Cove"
Augury,Lynx XII,6,"Augury by, Lynx XII"
Fresh Paint,Shape Of Our Dreams,10,"Fresh Paint by, Shape Of Our Dreams"
mind reader,Haltura Arnadottir,6,"mind reader by, Haltura Arnadottir"
emotions,Josef Briem,6,"emotions by, Josef Briem"
Orange Sky,Auðura,11,"Orange Sky by, Auðura"
The End Is The Beginning,Search For Atlantis,2,"The End Is The Beginning by, Search For Atlantis"
Prism,Lifou,11,"Prism by, Lifou"
the echoing truth,Tall Towers,5,"the echoing truth by, Tall Towers"
Desert Sunset,Tranquil Oasis,10,"Desert Sunset by, Tranquil Oasis"
Hovering Above,Auðura,4,"Hovering Above by, Auðura"
pull me in,Sun Of They,19,"pull me in by, Sun Of They"
Mastermind,Josef Briem,10,"Mastermind by, Josef Briem"
Bridges,Woven Hearts,11,"Bridges by, Woven Hearts"
